Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,1628.3611955478445
t2,0.0,0.0,0.0,11655.650932523164
t3,0.0,0.0,0.0,568.7429492876056
t4,0.0,0.0,0.0,11002.828847862816
t5,0.0,0.0,0.0,20871.780334335028
t6,0.0,0.0,0.0,9873.178438055993
t7,0.0,0.0,0.0,3006.594030372204
t8,0.0,0.0,0.0,7889.304711268178
t9,0.0,0.0,0.0,7475.886836655753
t10,0.0,0.0,0.0,9682.161297749055
t11,0.0,0.0,0.0,16735.57208638733
t12,0.0,0.0,0.0,26235.6710896446
t13,0.0,0.0,0.0,34648.24584169891
t14,0.0,0.0,0.0,42301.99356606039
t15,0.0,0.0,0.0,46754.211274612346
t16,0.0,0.0,0.0,46754.211274612346
t17,0.0,0.0,0.0,38482.02053753216
t18,0.0,0.0,0.0,38440.23298270859
t19,0.0,0.0,0.0,36528.90121108316
t20,0.0,0.0,0.0,46754.211274612346
t21,0.0,0.0,0.0,46754.211274612346
t22,0.0,0.0,0.0,46754.211274612346
t23,0.0,0.0,0.0,34426.60506173994
t24,0.0,0.0,0.0,40755.5139267713
t25,0.0,0.0,0.0,44162.08012359386
t26,0.0,0.0,0.0,46754.211274612346
t27,0.0,0.0,0.0,46754.211274612346
t28,0.0,0.0,0.0,36567.423291376785
t29,0.0,0.0,0.0,26177.932699445577
t30,0.0,0.0,0.0,15272.654281427413
t31,0.0,0.0,0.0,15839.69398397896
t32,0.0,0.0,0.0,16804.157549789168
t33,0.0,0.0,0.0,9324.571203842574
t34,0.0,0.0,0.0,7427.446676961215
t35,0.0,0.0,0.0,10327.983508961082
t36,0.0,0.0,0.0,15451.953578886702
t37,0.0,0.0,0.0,25886.039477461913
t38,0.0,0.0,0.0,36320.125376037126
t39,0.0,0.0,0.0,46754.211274612346
t40,0.0,0.0,0.0,46754.211274612346
t41,0.0,0.0,0.0,46754.211274612346
t42,0.0,0.0,0.0,34426.60506173994
t43,0.0,0.0,0.0,22098.99884886752
t44,0.0,0.0,0.0,9771.392635995107
t45,0.0,0.0,0.0,2163.5791714689576
t46,0.0,0.0,0.0,8602.832487843883
t47,0.0,0.0,0.0,12327.606212872413
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,10434.085898575213
t50,0.0,0.0,0.0,4688.844821130677
t51,0.0,0.0,0.0,6465.447641970207
t52,0.0,0.0,0.0,4961.731014411629
t53,0.0,0.0,0.0,6234.476767977209
t54,0.0,0.0,0.0,9818.34843948619
t55,0.0,0.0,0.0,10269.231880902256
t56,0.0,0.0,0.0,4075.819780781571
t57,0.0,0.0,0.0,6984.31203612169
t58,0.0,0.0,0.0,5876.873775368121
t59,0.0,0.0,0.0,9638.189847697733
t60,0.0,0.0,0.0,19757.66927348348
t61,0.0,0.0,0.0,25886.03947746192
t62,0.0,0.0,0.0,36320.12537603713
t63,0.0,0.0,0.0,46754.211274612346
t64,0.0,0.0,0.0,46754.211274612346
t65,0.0,0.0,0.0,46754.211274612346
t66,0.0,0.0,0.0,46754.211274612346
t67,0.0,0.0,0.0,34426.60506173994
t68,0.0,0.0,0.0,22098.99884886752
t69,0.0,0.0,0.0,12327.606212872413
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,10434.085898575213
t72,0.0,0.0,0.0,15451.953578886702
t73,0.0,0.0,0.0,25886.039477461913
t74,0.0,0.0,0.0,36320.125376037126
t75,0.0,0.0,0.0,46754.211274612346
t76,0.0,0.0,0.0,36320.12537603713
t77,0.0,0.0,0.0,46754.211274612346
t78,0.0,0.0,0.0,34426.60506173994
t79,0.0,0.0,0.0,22098.99884886752
t80,0.0,0.0,0.0,9771.392635995106
t81,0.0,0.0,0.0,9274.05940286542
t82,0.0,0.0,0.0,19708.145301440632
t83,0.0,0.0,0.0,23173.09525945857
t84,0.0,0.0,0.0,31777.4407237941
t85,0.0,0.0,0.0,39155.00527299333
t86,0.0,0.0,0.0,45305.770028707375
t87,0.0,0.0,0.0,46754.211274612346
t88,0.0,0.0,0.0,45948.41631337838
t89,0.0,0.0,0.0,34155.71392183675
t90,0.0,0.0,0.0,21828.107708964337
t91,0.0,0.0,0.0,14570.26588176275
t92,0.0,0.0,0.0,9291.467498494709
t93,0.0,0.0,0.0,8938.159595519484
t94,0.0,0.0,0.0,8938.159595519484
t95,0.0,0.0,0.0,8938.159595519484
t96,0.0,0.0,0.0,8938.159595519484
t97,0.0,0.0,0.0,8938.159595519484
t98,0.0,0.0,0.0,12405.70365544481
t99,0.0,0.0,0.0,12405.70365544481
t100,0.0,0.0,0.0,13657.251641061217
t101,0.0,0.0,0.0,14853.224519641479
