Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,21838.681524424468
t2,0.0,0.0,0.0,23488.564414943263
t3,0.0,0.0,0.0,20519.258820336356
t4,0.0,0.0,0.0,18465.001237220946
t5,0.0,0.0,0.0,17742.509549307924
t6,0.0,0.0,0.0,15544.293032180736
t7,0.0,0.0,0.0,9990.974375668571
t8,0.0,0.0,0.0,3469.235245233789
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,1999.4876054759286
t11,0.0,0.0,0.0,5142.017208103079
t12,0.0,0.0,0.0,1167.7966350615536
t13,0.0,0.0,0.0,6687.796635061554
t14,0.0,0.0,0.0,12207.796635061555
t15,0.0,0.0,0.0,6521.739130434782
t16,0.0,0.0,0.0,-0.0
t17,0.0,0.0,0.0,5520.000000000001
t18,0.0,0.0,0.0,6513.3693277261655
t19,0.0,0.0,0.0,8565.437052788851
t20,0.0,0.0,0.0,6288.026584921011
t21,0.0,0.0,0.0,1874.3322387857418
t22,0.0,0.0,0.0,3933.5651930917484
t23,0.0,0.0,0.0,9310.205889929537
t24,0.0,0.0,0.0,13836.685775989445
t25,0.0,0.0,0.0,19356.685775989445
t26,0.0,0.0,0.0,24876.685775989445
t27,0.0,0.0,0.0,30396.68577598945
t28,0.0,0.0,0.0,24851.996685187292
t29,0.0,0.0,0.0,18330.25755475251
t30,0.0,0.0,0.0,12941.857859831716
t31,0.0,0.0,0.0,7207.840588814544
t32,0.0,0.0,0.0,5536.799085644011
t33,0.0,0.0,0.0,2659.742633811541
t34,0.0,0.0,0.0,3268.7938347419117
t35,0.0,0.0,0.0,7519.091081088301
t36,0.0,0.0,0.0,13039.091081088302
t37,0.0,0.0,0.0,16288.170613514123
t38,0.0,0.0,0.0,21808.17061351412
t39,0.0,0.0,0.0,27328.17061351412
t40,0.0,0.0,0.0,30396.68577598945
t41,0.0,0.0,0.0,28789.718721561137
t42,0.0,0.0,0.0,25338.21312188453
t43,0.0,0.0,0.0,30396.68577598945
t44,0.0,0.0,0.0,30396.68577598945
t45,0.0,0.0,0.0,30396.68577598945
t46,0.0,0.0,0.0,30396.68577598945
t47,0.0,0.0,0.0,27232.39300427676
t48,0.0,0.0,0.0,25903.106474329972
t49,0.0,0.0,0.0,25946.57165727449
t50,0.0,0.0,0.0,26320.316973937388
t51,0.0,0.0,0.0,26659.090251603036
t52,0.0,0.0,0.0,30396.68577598945
t53,0.0,0.0,0.0,30396.68577598945
t54,0.0,0.0,0.0,30396.68577598945
t55,0.0,0.0,0.0,30120.115815407626
t56,0.0,0.0,0.0,30120.115815407626
t57,0.0,0.0,0.0,30120.115815407626
t58,0.0,0.0,0.0,29511.341172516593
t59,0.0,0.0,0.0,27782.4995333127
t60,0.0,0.0,0.0,26395.692401978584
t61,0.0,0.0,0.0,23807.164640388302
t62,0.0,0.0,0.0,20999.1837905255
t63,0.0,0.0,0.0,17543.48137232781
t64,0.0,0.0,0.0,12990.362860480638
t65,0.0,0.0,0.0,6685.964452520269
t66,0.0,0.0,0.0,1218.6855019363406
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,-0.0
t69,0.0,0.0,0.0,191.97983089971143
t70,0.0,0.0,0.0,-0.0
t71,0.0,0.0,0.0,5520.000000000001
t72,0.0,0.0,0.0,847.8720000000008
t73,0.0,0.0,0.0,4951.353916368424
t74,0.0,0.0,0.0,1965.176623576479
t75,0.0,0.0,0.0,7485.176623576479
t76,0.0,0.0,0.0,13005.176623576479
t77,0.0,0.0,0.0,18525.17662357648
t78,0.0,0.0,0.0,24045.17662357648
t79,0.0,0.0,0.0,23187.512558998864
t80,0.0,0.0,0.0,20147.57724884093
t81,0.0,0.0,0.0,22267.041869239798
t82,0.0,0.0,0.0,26128.699716352003
t83,0.0,0.0,0.0,29682.152289025096
t84,0.0,0.0,0.0,30396.68577598945
t85,0.0,0.0,0.0,30396.68577598945
t86,0.0,0.0,0.0,30396.68577598945
t87,0.0,0.0,0.0,30396.68577598945
t88,0.0,0.0,0.0,30306.006310742512
t89,0.0,0.0,0.0,27070.092023882364
t90,0.0,0.0,0.0,20693.62868359908
t91,0.0,0.0,0.0,14675.310121834038
t92,0.0,0.0,0.0,14675.310121834038
t93,0.0,0.0,0.0,14675.310121834038
t94,0.0,0.0,0.0,11513.555167095767
t95,0.0,0.0,0.0,8224.828314537312
t96,0.0,0.0,0.0,8224.828314537312
t97,0.0,0.0,0.0,8224.828314537312
t98,0.0,0.0,0.0,5505.292594915191
t99,0.0,0.0,0.0,1546.9061313057261
t100,0.0,0.0,0.0,-0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,5520.000000000001
t103,0.0,0.0,0.0,5520.000000000001
t104,0.0,0.0,0.0,2217.6775728065054
t105,0.0,0.0,0.0,261.37666096387346
t106,0.0,0.0,0.0,261.37666096387346
t107,0.0,0.0,0.0,1499.2985140709563
t108,0.0,0.0,0.0,4469.001346576328
t109,0.0,0.0,0.0,7951.644679295477
t110,0.0,0.0,0.0,12111.867700800594
t111,0.0,0.0,0.0,14857.95647599627
t112,0.0,0.0,0.0,14857.95647599627
t113,0.0,0.0,0.0,14046.781311776896
t114,0.0,0.0,0.0,9578.609521575985
t115,0.0,0.0,0.0,5342.5859277091495
t116,0.0,0.0,0.0,9615.212654472289
t117,0.0,0.0,0.0,9345.015355839378
t118,0.0,0.0,0.0,14426.035781006554
t119,0.0,0.0,0.0,19946.035781006554
t120,0.0,0.0,0.0,20654.689202303172
t121,0.0,0.0,0.0,19748.052404784885
t122,0.0,0.0,0.0,19384.778759279856
t123,0.0,0.0,0.0,17658.885706860783
t124,0.0,0.0,0.0,13824.9473630582
t125,0.0,0.0,0.0,8927.888977423574
t126,0.0,0.0,0.0,9058.238384129372
t127,0.0,0.0,0.0,6129.559856988607
t128,0.0,0.0,0.0,1394.1217703975394
t129,0.0,0.0,0.0,-0.0
t130,0.0,0.0,0.0,168.63197109227002
t131,0.0,0.0,0.0,1920.2206901991085
t132,0.0,0.0,0.0,4157.858573605166
t133,0.0,0.0,0.0,8185.165864949855
t134,0.0,0.0,0.0,10572.784775806887
t135,0.0,0.0,0.0,8316.685775989445
t136,0.0,0.0,0.0,13836.685775989445
t137,0.0,0.0,0.0,19356.685775989445
t138,0.0,0.0,0.0,24876.685775989445
t139,0.0,0.0,0.0,30396.68577598945
t140,0.0,0.0,0.0,30396.68577598945
t141,0.0,0.0,0.0,30396.68577598945
t142,0.0,0.0,0.0,30396.68577598945
t143,0.0,0.0,0.0,26258.888446003006
t144,0.0,0.0,0.0,20992.756173101538
t145,0.0,0.0,0.0,16271.456866182834
t146,0.0,0.0,0.0,12092.403508962174
t147,0.0,0.0,0.0,8254.717241764962
t148,0.0,0.0,0.0,4922.536150015077
t149,0.0,0.0,0.0,1799.7043862791018
t150,0.0,0.0,0.0,1268.4376454605424
t151,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,-0.0
t153,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,263.4812997553018
t155,0.0,0.0,0.0,1584.5314680460397
t156,0.0,0.0,0.0,2745.276972519168
t157,0.0,0.0,0.0,5407.516644926292
t158,0.0,0.0,0.0,7577.337917502064
t159,0.0,0.0,0.0,10114.77572537053
t160,0.0,0.0,0.0,14911.785371831244
t161,0.0,0.0,0.0,14434.92830846195
t162,0.0,0.0,0.0,16380.580810144771
t163,0.0,0.0,0.0,21900.58081014477
t164,0.0,0.0,0.0,25326.287444481863
t165,0.0,0.0,0.0,27786.63695363923
t166,0.0,0.0,0.0,30396.68577598945
t167,0.0,0.0,0.0,26736.09633121711
t168,0.0,0.0,0.0,21377.891741072708
t169,0.0,0.0,0.0,19988.589552248297
t170,0.0,0.0,0.0,18119.53752131811
t171,0.0,0.0,0.0,17418.12456601559
t172,0.0,0.0,0.0,17418.12456601559
t173,0.0,0.0,0.0,17418.12456601559
t174,0.0,0.0,0.0,17418.12456601559
t175,0.0,0.0,0.0,14073.164793931766
t176,0.0,0.0,0.0,12816.356013992632
t177,0.0,0.0,0.0,10787.667434528608
t178,0.0,0.0,0.0,10234.415969218328
t179,0.0,0.0,0.0,12399.984563894128
t180,0.0,0.0,0.0,14305.213736435504
t181,0.0,0.0,0.0,19825.213736435504
t182,0.0,0.0,0.0,22434.971743063117
t183,0.0,0.0,0.0,25667.916526639117
t184,0.0,0.0,0.0,26412.170660766606
t185,0.0,0.0,0.0,24830.258628380143
t186,0.0,0.0,0.0,25973.176073704562
t187,0.0,0.0,0.0,21935.769330351755
t188,0.0,0.0,0.0,16250.619810214008
t189,0.0,0.0,0.0,9728.880679779228
t190,0.0,0.0,0.0,8297.053530506313
t191,0.0,0.0,0.0,5931.553374566178
t192,0.0,0.0,0.0,2058.235182017422
t193,0.0,0.0,0.0,2058.235182017422
t194,0.0,0.0,0.0,5178.0674856069845
t195,0.0,0.0,0.0,10698.067485606984
t196,0.0,0.0,0.0,10698.067485606984
t197,0.0,0.0,0.0,12903.67264374455
t198,0.0,0.0,0.0,16408.487590639583
t199,0.0,0.0,0.0,17199.34285943398
t200,0.0,0.0,0.0,12333.849925478215
t201,0.0,0.0,0.0,12333.849925478215
t202,0.0,0.0,0.0,11355.336114133108
t203,0.0,0.0,0.0,6768.364879897177
t204,0.0,0.0,0.0,246.62574946239513
t205,0.0,0.0,0.0,433.36668166749746
t206,0.0,0.0,0.0,3019.323254564901
t207,0.0,0.0,0.0,8539.323254564903
t208,0.0,0.0,0.0,14059.3232545649
t209,0.0,0.0,0.0,15873.091043862618
t210,0.0,0.0,0.0,10210.394643588903
t211,0.0,0.0,0.0,10210.394643588903
t212,0.0,0.0,0.0,3688.65551315412
t213,0.0,0.0,0.0,535.9545006222689
t214,0.0,0.0,0.0,535.9545006222689
t215,0.0,0.0,0.0,0.0
t216,0.0,0.0,0.0,5404.453863245105
t217,0.0,0.0,0.0,10814.546241614742
t218,0.0,0.0,0.0,16334.546241614742
t219,0.0,0.0,0.0,21854.546241614742
t220,0.0,0.0,0.0,22927.246003965563
t221,0.0,0.0,0.0,26232.927172886055
t222,0.0,0.0,0.0,30396.68577598945
t223,0.0,0.0,0.0,28767.847925345486
t224,0.0,0.0,0.0,26964.907542135246
t225,0.0,0.0,0.0,26964.907542135246
t226,0.0,0.0,0.0,22405.754791087245
t227,0.0,0.0,0.0,22405.754791087245
t228,0.0,0.0,0.0,19538.126325173813
t229,0.0,0.0,0.0,19538.126325173813
t230,0.0,0.0,0.0,19538.126325173813
t231,0.0,0.0,0.0,22271.458442234067
t232,0.0,0.0,0.0,22271.458442234067
t233,0.0,0.0,0.0,17086.22158892938
t234,0.0,0.0,0.0,13878.630039752836
t235,0.0,0.0,0.0,10250.456294645184
t236,0.0,0.0,0.0,7533.917606580063
t237,0.0,0.0,0.0,7533.917606580063
t238,0.0,0.0,0.0,10240.920068132578
t239,0.0,0.0,0.0,10240.920068132578
t240,0.0,0.0,0.0,14361.408813832304
t241,0.0,0.0,0.0,17994.006899565065
t242,0.0,0.0,0.0,17994.006899565065
t243,0.0,0.0,0.0,17994.006899565065
t244,0.0,0.0,0.0,17994.006899565065
t245,0.0,0.0,0.0,17994.006899565065
t246,0.0,0.0,0.0,17020.137369103068
t247,0.0,0.0,0.0,15951.362457633739
t248,0.0,0.0,0.0,13663.170902266618
t249,0.0,0.0,0.0,12041.175792180647
t250,0.0,0.0,0.0,12041.175792180647
t251,0.0,0.0,0.0,12041.175792180647
t252,0.0,0.0,0.0,12041.175792180647
t253,0.0,0.0,0.0,12041.175792180647
t254,0.0,0.0,0.0,12243.988421301694
t255,0.0,0.0,0.0,12243.988421301694
t256,0.0,0.0,0.0,12243.988421301694
t257,0.0,0.0,0.0,12243.988421301694
t258,0.0,0.0,0.0,12243.988421301694
t259,0.0,0.0,0.0,12437.260852756724
t260,0.0,0.0,0.0,10329.03011718718
t261,0.0,0.0,0.0,10915.51116459613
t262,0.0,0.0,0.0,4393.772034161347
t263,0.0,0.0,0.0,4393.772034161347
t264,0.0,0.0,0.0,4393.772034161347
t265,0.0,0.0,0.0,6385.721071382632
t266,0.0,0.0,0.0,11905.721071382633
t267,0.0,0.0,0.0,16352.219257214376
t268,0.0,0.0,0.0,20776.01010507128
t269,0.0,0.0,0.0,26107.64700586456
t270,0.0,0.0,0.0,30396.68577598945
t271,0.0,0.0,0.0,28706.017201251114
t272,0.0,0.0,0.0,25412.17130827809
t273,0.0,0.0,0.0,23048.57152423997
t274,0.0,0.0,0.0,21701.067664775182
t275,0.0,0.0,0.0,21305.67317215769
t276,0.0,0.0,0.0,21305.67317215769
t277,0.0,0.0,0.0,21305.67317215769
t278,0.0,0.0,0.0,21305.67317215769
t279,0.0,0.0,0.0,21305.67317215769
t280,0.0,0.0,0.0,21305.67317215769
t281,0.0,0.0,0.0,20350.62544807797
t282,0.0,0.0,0.0,17645.32302169989
t283,0.0,0.0,0.0,11195.9939393806
t284,0.0,0.0,0.0,11195.9939393806
t285,0.0,0.0,0.0,11946.966380086067
t286,0.0,0.0,0.0,11946.966380086067
t287,0.0,0.0,0.0,11946.966380086067
t288,0.0,0.0,0.0,11946.966380086067
t289,0.0,0.0,0.0,9111.912342260015
t290,0.0,0.0,0.0,6898.312989483868
t291,0.0,0.0,0.0,5351.937063803657
t292,0.0,0.0,0.0,4864.919404169098
t293,0.0,0.0,0.0,4864.919404169098
t294,0.0,0.0,0.0,6621.808967150183
t295,0.0,0.0,0.0,6621.808967150183
t296,0.0,0.0,0.0,6621.808967150183
t297,0.0,0.0,0.0,6621.808967150183
t298,0.0,0.0,0.0,6621.808967150183
t299,0.0,0.0,0.0,7229.15720616439
t300,0.0,0.0,0.0,8257.563037110514
t301,0.0,0.0,0.0,9118.507653676837
t302,0.0,0.0,0.0,9851.114485640186
t303,0.0,0.0,0.0,9851.114485640186
t304,0.0,0.0,0.0,9851.114485640186
t305,0.0,0.0,0.0,7294.34103500194
t306,0.0,0.0,0.0,4580.132397724827
t307,0.0,0.0,0.0,5039.910168072877
t308,0.0,0.0,0.0,5039.910168072877
t309,0.0,0.0,0.0,10559.910168072878
t310,0.0,0.0,0.0,16079.910168072878
t311,0.0,0.0,0.0,18646.38143043666
t312,0.0,0.0,0.0,20040.22360171787
t313,0.0,0.0,0.0,22503.072389186636
t314,0.0,0.0,0.0,27915.585465553748
t315,0.0,0.0,0.0,21393.846335118964
t316,0.0,0.0,0.0,15032.905874607668
t317,0.0,0.0,0.0,8644.733751327947
t318,0.0,0.0,0.0,5715.094927834146
t319,0.0,0.0,0.0,894.970473037227
t320,0.0,0.0,0.0,585.9891807199904
t321,0.0,0.0,0.0,-0.0
t322,0.0,0.0,0.0,-0.0
t323,0.0,0.0,0.0,-0.0
t324,0.0,0.0,0.0,-0.0
t325,0.0,0.0,0.0,0.0
t326,0.0,0.0,0.0,627.1510554364874
t327,0.0,0.0,0.0,3442.966846031158
t328,0.0,0.0,0.0,5100.650026442548
t329,0.0,0.0,0.0,8411.944747884683
t330,0.0,0.0,0.0,9908.896143949312
t331,0.0,0.0,0.0,11725.849591208436
t332,0.0,0.0,0.0,6543.485791174592
t333,0.0,0.0,0.0,9950.328682683075
t334,0.0,0.0,0.0,15470.328682683075
t335,0.0,0.0,0.0,20990.328682683074
t336,0.0,0.0,0.0,26510.328682683077
t337,0.0,0.0,0.0,4397.416433597956
t338,0.0,0.0,0.0,4397.416433597956
t339,0.0,0.0,0.0,4397.416433597956
t340,0.0,0.0,0.0,4397.416433597956
t341,0.0,0.0,0.0,4397.416433597956
t342,0.0,0.0,0.0,4397.416433597956
t343,0.0,0.0,0.0,2488.970531923118
t344,0.0,0.0,0.0,457.82087155555064
t345,0.0,0.0,0.0,-0.0
t346,0.0,0.0,0.0,1728.563898708932
t347,0.0,0.0,0.0,6932.93207875323
t348,0.0,0.0,0.0,8316.685775989445
t349,0.0,0.0,0.0,13836.685775989445
t350,0.0,0.0,0.0,19356.685775989445
t351,0.0,0.0,0.0,24876.685775989445
t352,0.0,0.0,0.0,30396.68577598945
t353,0.0,0.0,0.0,30396.68577598945
t354,0.0,0.0,0.0,26458.014058326018
t355,0.0,0.0,0.0,21898.30592693058
t356,0.0,0.0,0.0,17239.714584459532
t357,0.0,0.0,0.0,13432.919496919232
t358,0.0,0.0,0.0,11019.97995378445
t359,0.0,0.0,0.0,10416.201859718178
t360,0.0,0.0,0.0,11296.754715518628
t361,0.0,0.0,0.0,13041.925332144801
t362,0.0,0.0,0.0,15240.683754557062
t363,0.0,0.0,0.0,17655.805309360014
t364,0.0,0.0,0.0,20081.379652037685
t365,0.0,0.0,0.0,22141.862052241122
t366,0.0,0.0,0.0,23041.917174628237
t367,0.0,0.0,0.0,21618.068737725665
t368,0.0,0.0,0.0,18860.93374086565
t369,0.0,0.0,0.0,17634.288807533296
t370,0.0,0.0,0.0,18598.051988517134
t371,0.0,0.0,0.0,20962.034712267767
t372,0.0,0.0,0.0,23725.086176386132
t373,0.0,0.0,0.0,25721.088370074278
t374,0.0,0.0,0.0,27104.95111250558
t375,0.0,0.0,0.0,28730.179134583475
t376,0.0,0.0,0.0,28296.122315879922
t377,0.0,0.0,0.0,23394.163387155077
t378,0.0,0.0,0.0,17575.248308026006
t379,0.0,0.0,0.0,11949.761089573947
t380,0.0,0.0,0.0,6975.993962728558
t381,0.0,0.0,0.0,2967.7338213099383
t382,0.0,0.0,0.0,529.9411956140573
t383,0.0,0.0,0.0,-0.0
t384,0.0,0.0,0.0,711.915209753937
t385,0.0,0.0,0.0,2247.828287895335
t386,0.0,0.0,0.0,4370.004413692192
t387,0.0,0.0,0.0,6583.518854051016
t388,0.0,0.0,0.0,9075.470772559762
t389,0.0,0.0,0.0,11129.1459540109
t390,0.0,0.0,0.0,12245.59220518035
t391,0.0,0.0,0.0,11327.158196746384
t392,0.0,0.0,0.0,8877.624190142807
t393,0.0,0.0,0.0,9728.366755523039
t394,0.0,0.0,0.0,13491.367993179723
t395,0.0,0.0,0.0,18224.650416920547
t396,0.0,0.0,0.0,20031.67358562774
t397,0.0,0.0,0.0,22254.087033603588
t398,0.0,0.0,0.0,24664.653240228214
t399,0.0,0.0,0.0,26888.544738291643
t400,0.0,0.0,0.0,26888.544738291643
t401,0.0,0.0,0.0,22773.373736345042
t402,0.0,0.0,0.0,17338.81291732638
t403,0.0,0.0,0.0,12173.480848113182
t404,0.0,0.0,0.0,7305.3698310641
t405,0.0,0.0,0.0,3435.6401273748716
t406,0.0,0.0,0.0,893.6892754385676
t407,0.0,0.0,0.0,-0.0
t408,0.0,0.0,0.0,740.8135184998488
t409,0.0,0.0,0.0,740.8135184998488
t410,0.0,0.0,0.0,740.8135184998488
t411,0.0,0.0,0.0,740.8135184998488
t412,0.0,0.0,0.0,2079.1368868673526
t413,0.0,0.0,0.0,2079.1368868673526
t414,0.0,0.0,0.0,2079.1368868673526
t415,0.0,0.0,0.0,2539.036222177423
t416,0.0,0.0,0.0,0.0
t417,0.0,0.0,0.0,-0.0
t418,0.0,0.0,0.0,0.0
t419,0.0,0.0,0.0,1006.6855703786329
t420,0.0,0.0,0.0,6526.685570378634
t421,0.0,0.0,0.0,12046.685570378635
t422,0.0,0.0,0.0,17566.685570378635
t423,0.0,0.0,0.0,23086.685570378635
t424,0.0,0.0,0.0,28606.685570378635
t425,0.0,0.0,0.0,28606.685570378635
t426,0.0,0.0,0.0,28292.500733488396
t427,0.0,0.0,0.0,25826.08528260994
t428,0.0,0.0,0.0,25826.08528260994
t429,0.0,0.0,0.0,28400.483962484737
t430,0.0,0.0,0.0,28400.483962484737
t431,0.0,0.0,0.0,28400.483962484737
t432,0.0,0.0,0.0,28400.483962484737
t433,0.0,0.0,0.0,28400.483962484737
t434,0.0,0.0,0.0,28400.483962484737
t435,0.0,0.0,0.0,28400.483962484737
t436,0.0,0.0,0.0,28400.483962484737
t437,0.0,0.0,0.0,28400.483962484737
t438,0.0,0.0,0.0,27724.024066709353
t439,0.0,0.0,0.0,24830.24886046645
t440,0.0,0.0,0.0,20816.662957222794
t441,0.0,0.0,0.0,19321.73052333126
t442,0.0,0.0,0.0,23007.310876049603
t443,0.0,0.0,0.0,25789.558774801462
t444,0.0,0.0,0.0,28310.844193324083
t445,0.0,0.0,0.0,30309.313920157805
t446,0.0,0.0,0.0,30396.68577598945
t447,0.0,0.0,0.0,30396.68577598945
t448,0.0,0.0,0.0,30396.68577598945
t449,0.0,0.0,0.0,26143.896570714845
t450,0.0,0.0,0.0,20986.75461526102
t451,0.0,0.0,0.0,16120.111224458175
t452,0.0,0.0,0.0,11813.696583464176
t453,0.0,0.0,0.0,8416.63943163308
t454,0.0,0.0,0.0,5944.34108416165
t455,0.0,0.0,0.0,4627.919931567558
t456,0.0,0.0,0.0,4627.919931567558
t457,0.0,0.0,0.0,5572.227429541383
t458,0.0,0.0,0.0,5572.227429541383
t459,0.0,0.0,0.0,7563.393461738586
t460,0.0,0.0,0.0,9493.967443351823
t461,0.0,0.0,0.0,11357.837657477596
t462,0.0,0.0,0.0,12878.570149681465
t463,0.0,0.0,0.0,12878.570149681465
t464,0.0,0.0,0.0,12958.142921941804
t465,0.0,0.0,0.0,15187.608559583474
t466,0.0,0.0,0.0,19324.83852789487
t467,0.0,0.0,0.0,19377.129359798913
t468,0.0,0.0,0.0,19406.20039634499
t469,0.0,0.0,0.0,19449.558877990665
t470,0.0,0.0,0.0,19449.558877990665
t471,0.0,0.0,0.0,21266.259866970213
t472,0.0,0.0,0.0,23375.741312536684
t473,0.0,0.0,0.0,19631.824836642147
t474,0.0,0.0,0.0,15346.758232902566
t475,0.0,0.0,0.0,11332.131579697601
t476,0.0,0.0,0.0,7969.717757767322
t477,0.0,0.0,0.0,5212.571724706535
t478,0.0,0.0,0.0,3507.367628369677
t479,0.0,0.0,0.0,2670.0236859108113
t480,0.0,0.0,0.0,2965.3876256456215
t481,0.0,0.0,0.0,2965.3876256456215
t482,0.0,0.0,0.0,2965.3876256456215
t483,0.0,0.0,0.0,2965.3876256456215
t484,0.0,0.0,0.0,2965.3876256456215
t485,0.0,0.0,0.0,2965.3876256456215
t486,0.0,0.0,0.0,2965.3876256456215
t487,0.0,0.0,0.0,2965.3876256456215
t488,0.0,0.0,0.0,2965.3876256456215
t489,0.0,0.0,0.0,2965.3876256456215
t490,0.0,0.0,0.0,2965.3876256456215
t491,0.0,0.0,0.0,2965.3876256456215
t492,0.0,0.0,0.0,2965.3876256456215
t493,0.0,0.0,0.0,2965.3876256456215
t494,0.0,0.0,0.0,3470.8591256550517
t495,0.0,0.0,0.0,3730.9152335849167
t496,0.0,0.0,0.0,3730.9152335849167
t497,0.0,0.0,0.0,2906.3789242065336
t498,0.0,0.0,0.0,271.5954810779121
t499,0.0,0.0,0.0,0.0
t500,0.0,0.0,0.0,-0.0
t501,0.0,0.0,0.0,432.14417303636486
t502,0.0,0.0,0.0,0.0
t503,0.0,0.0,0.0,3466.322622991875
t504,0.0,0.0,0.0,4397.416433597956
t505,0.0,0.0,0.0,30396.68577598945
t506,0.0,0.0,0.0,30396.68577598945
t507,0.0,0.0,0.0,23874.946645554664
t508,0.0,0.0,0.0,25831.463474639313
t509,0.0,0.0,0.0,30396.68577598945
t510,0.0,0.0,0.0,27468.95346411334
t511,0.0,0.0,0.0,30396.68577598945
t512,0.0,0.0,0.0,25005.19946350376
t513,0.0,0.0,0.0,25447.155899614798
t514,0.0,0.0,0.0,30396.68577598945
t515,0.0,0.0,0.0,29754.68148987173
t516,0.0,0.0,0.0,30396.68577598945
t517,0.0,0.0,0.0,27779.007253789972
t518,0.0,0.0,0.0,25191.291877237538
t519,0.0,0.0,0.0,22672.812878252847
t520,0.0,0.0,0.0,16362.140078565624
t521,0.0,0.0,0.0,10569.673808211575
t522,0.0,0.0,0.0,7408.666572663756
t523,0.0,0.0,0.0,6298.1650121602415
t524,0.0,0.0,0.0,3627.7977865538824
t525,0.0,0.0,0.0,0.0
t526,0.0,0.0,0.0,1102.181209896932
t527,0.0,0.0,0.0,4587.113823943238
t528,0.0,0.0,0.0,8979.630944015938
t529,0.0,0.0,0.0,2457.8918135811564
t530,0.0,0.0,0.0,3439.640368984909
t531,0.0,0.0,0.0,8959.64036898491
t532,0.0,0.0,0.0,8464.087860272299
t533,0.0,0.0,0.0,13984.0878602723
t534,0.0,0.0,0.0,19504.0878602723
t535,0.0,0.0,0.0,25024.0878602723
t536,0.0,0.0,0.0,30396.68577598945
t537,0.0,0.0,0.0,23874.946645554664
t538,0.0,0.0,0.0,28443.081937706636
t539,0.0,0.0,0.0,30396.68577598945
t540,0.0,0.0,0.0,29018.376084546842
t541,0.0,0.0,0.0,30396.68577598945
t542,0.0,0.0,0.0,30396.68577598945
t543,0.0,0.0,0.0,30396.68577598945
t544,0.0,0.0,0.0,30396.68577598945
t545,0.0,0.0,0.0,26741.160861362565
t546,0.0,0.0,0.0,20364.787366565608
t547,0.0,0.0,0.0,13843.048236130826
t548,0.0,0.0,0.0,7321.309105696044
t549,0.0,0.0,0.0,4154.121232562025
t550,0.0,0.0,0.0,0.0
t551,0.0,0.0,0.0,2452.0817912109183
t552,0.0,0.0,0.0,3444.5579719190796
t553,0.0,0.0,0.0,2796.685775989445
t554,0.0,0.0,0.0,8316.685775989445
t555,0.0,0.0,0.0,13836.685775989445
t556,0.0,0.0,0.0,19356.685775989445
t557,0.0,0.0,0.0,24876.685775989445
t558,0.0,0.0,0.0,30396.68577598945
t559,0.0,0.0,0.0,30396.68577598945
