Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,2.576697807830964e7,2.576697807830964e7
t1,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t2,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t3,0.0,0.0,0.0,661.1827675387559,661.1827675387559
t4,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t5,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t6,0.0,0.0,0.0,258.4277550516516,258.4277550516516
t7,0.0,0.0,0.0,-0.0,0.0
t8,0.0,0.0,0.0,-0.0,0.0
t9,0.0,0.0,0.0,1224.7609357054553,1224.7609357054553
t10,0.0,0.0,0.0,5037.200830058495,5037.200830058495
t11,0.0,0.0,0.0,7245.2465751667105,7245.2465751667105
t12,0.0,0.0,0.0,7753.067521734097,7753.067521734097
t13,0.0,0.0,0.0,7902.548387752296,7902.548387752296
t14,0.0,0.0,0.0,7553.807410532242,7553.807410532242
t15,0.0,0.0,0.0,6070.693678970182,6070.693678970182
t16,0.0,0.0,0.0,3261.426972403527,3261.426972403527
t17,0.0,0.0,0.0,-0.0,0.0
t18,0.0,0.0,0.0,-0.0,0.0
t19,0.0,0.0,0.0,-0.0,0.0
t20,0.0,0.0,0.0,6357.438746568248,6357.438746568248
t21,0.0,0.0,0.0,-0.0,0.0
t22,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t23,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t24,0.0,0.0,0.0,-0.0,0.0
t25,0.0,0.0,0.0,6600.774047213342,6600.774047213342
t26,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t27,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t28,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t29,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t30,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t31,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t32,0.0,0.0,0.0,-0.0,0.0
t33,0.0,0.0,0.0,529.4902303732405,529.4902303732405
t34,0.0,0.0,0.0,3095.837394026695,3095.837394026695
t35,0.0,0.0,0.0,5304.763438605574,5304.763438605574
t36,0.0,0.0,0.0,6329.52620476879,6329.52620476879
t37,0.0,0.0,0.0,6436.696437252591,6436.696437252591
t38,0.0,0.0,0.0,7926.776415955384,7926.776415955384
t39,0.0,0.0,0.0,4813.512354994627,4813.512354994627
t40,0.0,0.0,0.0,2291.586507435921,2291.586507435921
t41,0.0,0.0,0.0,-0.0,0.0
t42,0.0,0.0,0.0,1657.0657294257387,1657.0657294257387
t43,0.0,0.0,0.0,6361.462789467113,6361.462789467113
t44,0.0,0.0,0.0,3925.9764372400764,3925.9764372400764
t45,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t46,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t47,0.0,0.0,0.0,-0.0,0.0
t48,0.0,0.0,0.0,7947.967851455469,7947.967851455469
t49,0.0,0.0,0.0,4965.758077035868,4965.758077035868
t50,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t51,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t52,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t53,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t54,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t55,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t56,0.0,0.0,0.0,-0.0,0.0
t57,0.0,0.0,0.0,-0.0,0.0
t58,0.0,0.0,0.0,3377.8011058867355,3377.8011058867355
t59,0.0,0.0,0.0,5634.8167288424465,5634.8167288424465
t60,0.0,0.0,0.0,7106.901298457224,7106.901298457224
t61,0.0,0.0,0.0,6735.6393452703305,6735.6393452703305
t62,0.0,0.0,0.0,6348.9183838118915,6348.9183838118915
t63,0.0,0.0,0.0,5232.525613708272,5232.525613708272
t64,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t65,0.0,0.0,0.0,4304.575309497113,4304.575309497113
t66,0.0,0.0,0.0,661.1827675387559,661.1827675387559
t67,0.0,0.0,0.0,7947.967851455469,7947.967851455469
