Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,22.25199355744766
t2,0.0,0.0,0.0,22.25199355744766
t3,0.0,0.0,0.0,22.25199355744765
t4,0.0,0.0,0.0,22.25199355744765
t5,0.0,0.0,0.0,22.25199355744766
t6,0.0,0.0,0.0,22.251993557447655
t7,0.0,0.0,0.0,22.251993557447655
t8,0.0,0.0,0.0,22.251993557447655
t9,0.0,0.0,0.0,22.251993557447655
t10,0.0,0.0,0.0,22.35164693699705
t11,0.0,0.0,0.0,22.35164693699705
t12,0.0,0.0,0.0,22.35164693699705
t13,0.0,0.0,0.0,22.35164693699705
t14,0.0,0.0,0.0,22.35164693699705
t15,0.0,0.0,0.0,22.35164693699705
t16,0.0,0.0,0.0,22.251993557447655
t17,0.0,0.0,0.0,22.251993557447655
t18,0.0,0.0,0.0,22.251993557447655
t19,0.0,0.0,0.0,22.251993557447655
t20,0.0,0.0,0.0,22.251993557447655
t21,0.0,0.0,0.0,22.251993557447655
t22,0.0,0.0,0.0,22.251993557447655
t23,0.0,0.0,0.0,22.251993557447655
t24,0.0,0.0,0.0,22.251993557447655
t25,0.0,0.0,0.0,22.251993557447655
t26,0.0,0.0,0.0,22.251993557447655
t27,0.0,0.0,0.0,22.251993557447655
t28,0.0,0.0,0.0,22.251993557447655
t29,0.0,0.0,0.0,22.25199355744766
t30,0.0,0.0,0.0,22.25199355744766
t31,0.0,0.0,0.0,22.25199355744766
t32,0.0,0.0,0.0,22.251993557447655
t33,0.0,0.0,0.0,22.251993557447655
t34,0.0,0.0,0.0,22.251993557447655
t35,0.0,0.0,0.0,22.251993557447655
t36,0.0,0.0,0.0,22.251993557447655
t37,0.0,0.0,0.0,22.251993557447655
t38,0.0,0.0,0.0,22.251993557447655
t39,0.0,0.0,0.0,22.251993557447655
t40,0.0,0.0,0.0,22.251993557447655
t41,0.0,0.0,0.0,22.251993557447655
t42,0.0,0.0,0.0,22.251993557447655
t43,0.0,0.0,0.0,22.251993557447655
t44,0.0,0.0,0.0,22.251993557447655
t45,0.0,0.0,0.0,22.251993557447655
t46,0.0,0.0,0.0,22.251993557447655
t47,0.0,0.0,0.0,22.25199355744765
t48,0.0,0.0,0.0,22.25199355744765
t49,0.0,0.0,0.0,22.25199355744765
t50,0.0,0.0,0.0,22.25199355744766
t51,0.0,0.0,0.0,22.25199355744766
t52,0.0,0.0,0.0,22.25199355744766
t53,0.0,0.0,0.0,22.25199355744766
t54,0.0,0.0,0.0,22.25199355744766
t55,0.0,0.0,0.0,22.25199355744766
t56,0.0,0.0,0.0,22.251993557447655
t57,0.0,0.0,0.0,22.251993557447655
t58,0.0,0.0,0.0,22.251993557447655
t59,0.0,0.0,0.0,22.251993557447655
t60,0.0,0.0,0.0,22.251993557447655
t61,0.0,0.0,0.0,22.251993557447655
t62,0.0,0.0,0.0,22.251993557447655
t63,0.0,0.0,0.0,22.251993557447655
t64,0.0,0.0,0.0,22.25199355744766
t65,0.0,0.0,0.0,22.25199355744766
t66,0.0,0.0,0.0,22.25199355744765
t67,0.0,0.0,0.0,22.25199355744765
t68,0.0,0.0,0.0,22.25199355744766
t69,0.0,0.0,0.0,22.25199355744766
t70,0.0,0.0,0.0,22.25199355744766
t71,0.0,0.0,0.0,22.25199355744766
t72,0.0,0.0,0.0,22.25199355744765
t73,0.0,0.0,0.0,22.25199355744765
t74,0.0,0.0,0.0,22.25199355744766
t75,0.0,0.0,0.0,22.25199355744766
t76,0.0,0.0,0.0,22.25199355744766
t77,0.0,0.0,0.0,22.25199355744766
t78,0.0,0.0,0.0,22.25199355744766
t79,0.0,0.0,0.0,22.251993557447655
t80,0.0,0.0,0.0,22.251993557447655
t81,0.0,0.0,0.0,22.251993557447655
t82,0.0,0.0,0.0,22.251993557447655
t83,0.0,0.0,0.0,22.251993557447655
t84,0.0,0.0,0.0,22.251993557447655
t85,0.0,0.0,0.0,22.251993557447655
t86,0.0,0.0,0.0,22.251993557447655
t87,0.0,0.0,0.0,22.251993557447655
t88,0.0,0.0,0.0,-181.28636116215418
t89,0.0,0.0,0.0,-188.7410683180859
t90,0.0,0.0,0.0,-188.7410683180859
t91,0.0,0.0,0.0,-188.7410683180859
t92,0.0,0.0,0.0,-188.7410683180859
t93,0.0,0.0,0.0,-188.7410683180859
t94,0.0,0.0,0.0,-188.7410683180859
t95,0.0,0.0,0.0,-188.7410683180859
t96,0.0,0.0,0.0,-188.7410683180859
t97,0.0,0.0,0.0,-188.7410683180859
t98,0.0,0.0,0.0,-188.7410683180859
t99,0.0,0.0,0.0,-188.7410683180859
t100,0.0,0.0,0.0,-188.7410683180859
t101,0.0,0.0,0.0,-188.7410683180859
t102,0.0,0.0,0.0,-188.7410683180859
t103,0.0,0.0,0.0,-188.7410683180859
t104,0.0,0.0,0.0,-188.7410683180859
t105,0.0,0.0,0.0,-188.7410683180859
t106,0.0,0.0,0.0,19.110087347023697
t107,0.0,0.0,0.0,22.251993557447655
t108,0.0,0.0,0.0,22.251993557447655
t109,0.0,0.0,0.0,22.251993557447655
t110,0.0,0.0,0.0,22.251993557447655
t111,0.0,0.0,0.0,22.251993557447655
t112,0.0,0.0,0.0,22.251993557447655
t113,0.0,0.0,0.0,22.251993557447655
t114,0.0,0.0,0.0,22.251993557447655
t115,0.0,0.0,0.0,22.25199355744766
t116,0.0,0.0,0.0,-181.28636116215424
t117,0.0,0.0,0.0,-181.28636116215424
