Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,1.164805281953766e6,4.0799803137550265e7,0.0,4.196460841950403e7
t1,0.0,0.0,2862.557767784203,0.0,2862.557767784203
t2,0.0,0.0,21904.140263238885,0.0,21904.140263238885
t3,0.0,0.0,23031.29778352496,0.0,23031.29778352496
t4,0.0,0.0,13827.556302635427,0.0,13827.556302635427
t5,0.0,0.0,19449.028578537578,0.0,19449.028578537578
t6,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,13639.777317570935,0.0,13639.777317570935
t8,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,7788.1876090074065,0.0,7788.1876090074065
t10,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,117.0727961994168,0.0,117.0727961994168
t14,0.0,0.0,202.82007432066712,0.0,202.82007432066712
t15,0.0,0.0,2652.3777862801094,0.0,2652.3777862801094
t16,0.0,0.0,5307.536160617826,0.0,5307.536160617826
t17,0.0,0.0,1825.8164610859399,0.0,1825.8164610859399
t18,0.0,0.0,9749.701843906516,0.0,9749.701843906516
t19,0.0,0.0,19802.72546171258,0.0,19802.72546171258
t20,0.0,0.0,898.2904058169545,0.0,898.2904058169545
t21,0.0,0.0,19768.737589707387,0.0,19768.737589707387
t22,0.0,0.0,2291.1293815288795,0.0,2291.1293815288795
t23,0.0,0.0,1090.582060725609,0.0,1090.582060725609
t24,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,6691.210415918238,0.0,6691.210415918238
t28,0.0,0.0,14073.024357968412,0.0,14073.024357968412
t29,0.0,0.0,20963.229124462483,0.0,20963.229124462483
t30,0.0,0.0,2392.3673013865923,0.0,2392.3673013865923
t31,0.0,0.0,14108.307605356413,0.0,14108.307605356413
t32,0.0,0.0,10827.905909997857,0.0,10827.905909997857
t33,0.0,0.0,14883.272306993109,0.0,14883.272306993109
t34,0.0,0.0,13300.803064619065,0.0,13300.803064619065
t35,0.0,0.0,24441.93404413862,0.0,24441.93404413862
t36,0.0,0.0,21582.08603563447,0.0,21582.08603563447
t37,0.0,0.0,21936.374707612937,0.0,21936.374707612937
t38,0.0,0.0,25922.621841713524,0.0,25922.621841713524
t39,0.0,0.0,26066.412379959962,0.0,26066.412379959962
t40,0.0,0.0,21051.548748529876,0.0,21051.548748529876
t41,0.0,0.0,12766.927999400214,0.0,12766.927999400214
t42,0.0,0.0,3815.6660615580336,0.0,3815.6660615580336
t43,0.0,0.0,2061.684147224483,0.0,2061.684147224483
t44,0.0,0.0,3404.3055336986185,0.0,3404.3055336986185
t45,0.0,0.0,0.0,0.0,0.0
t46,0.0,0.0,9256.040628056302,0.0,9256.040628056302
t47,0.0,0.0,7988.577900817825,0.0,7988.577900817825
t48,0.0,0.0,18636.71363462071,0.0,18636.71363462071
t49,0.0,0.0,1625.0624587703762,0.0,1625.0624587703762
t50,0.0,0.0,5782.136239219182,0.0,5782.136239219182
t51,0.0,0.0,0.0,0.0,0.0
t52,0.0,0.0,4370.914404302032,0.0,4370.914404302032
t53,0.0,0.0,14829.48542120668,0.0,14829.48542120668
t54,0.0,0.0,13198.521643915064,0.0,13198.521643915064
t55,0.0,0.0,10242.204444484682,0.0,10242.204444484682
t56,0.0,0.0,0.0,0.0,0.0
t57,0.0,0.0,532.9593394489845,0.0,532.9593394489845
t58,0.0,0.0,23084.11300889802,0.0,23084.11300889802
t59,0.0,0.0,25055.74169749216,0.0,25055.74169749216
t60,0.0,0.0,25678.57582723339,0.0,25678.57582723339
t61,0.0,0.0,26248.224513559173,0.0,26248.224513559173
t62,0.0,0.0,25736.758901837115,0.0,25736.758901837115
t63,0.0,0.0,19535.501677290038,0.0,19535.501677290038
t64,0.0,0.0,13449.98825428565,0.0,13449.98825428565
t65,0.0,0.0,19454.399522040483,0.0,19454.399522040483
t66,0.0,0.0,14931.887238132373,0.0,14931.887238132373
t67,0.0,0.0,17294.644843024736,0.0,17294.644843024736
t68,0.0,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0,0.0
t71,0.0,0.0,15465.036165671432,0.0,15465.036165671432
t72,0.0,0.0,2640.773771273949,0.0,2640.773771273949
t73,0.0,0.0,3908.1628806046674,0.0,3908.1628806046674
t74,0.0,0.0,22871.17266737787,0.0,22871.17266737787
t75,0.0,0.0,17839.686582672603,0.0,17839.686582672603
t76,0.0,0.0,1859.2738015367338,0.0,1859.2738015367338
t77,0.0,0.0,1534.7527055885735,0.0,1534.7527055885735
t78,0.0,0.0,6057.645454560566,0.0,6057.645454560566
t79,0.0,0.0,3176.8056197585147,0.0,3176.8056197585147
t80,0.0,0.0,5734.675913313378,0.0,5734.675913313378
t81,0.0,0.0,15894.954119563865,0.0,15894.954119563865
t82,0.0,0.0,15775.874343860576,0.0,15775.874343860576
t83,0.0,0.0,15188.879693660387,0.0,15188.879693660387
t84,0.0,0.0,2272.0886642273485,0.0,2272.0886642273485
t85,0.0,0.0,1075.2115285452603,0.0,1075.2115285452603
t86,0.0,0.0,590.0368775415569,0.0,590.0368775415569
t87,0.0,0.0,248.83894738277897,0.0,248.83894738277897
t88,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,2.2640263499456026,0.0,2.2640263499456026
t109,0.0,0.0,0.0,0.0,0.0
t110,0.0,0.0,9295.04448354371,0.0,9295.04448354371
t111,0.0,0.0,7855.736681287453,0.0,7855.736681287453
t112,0.0,0.0,6235.136017760626,0.0,6235.136017760626
t113,0.0,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0,0.0
t131,0.0,0.0,1544.141668742089,0.0,1544.141668742089
t132,0.0,0.0,2645.3255381482686,0.0,2645.3255381482686
t133,0.0,0.0,1077.528328870386,0.0,1077.528328870386
t134,0.0,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,0.0
t155,0.0,0.0,8726.427310357165,0.0,8726.427310357165
t156,0.0,0.0,5685.531441519349,0.0,5685.531441519349
t157,0.0,0.0,5779.863607410035,0.0,5779.863607410035
t158,0.0,0.0,7227.155890944926,0.0,7227.155890944926
t159,0.0,0.0,6360.50010229893,0.0,6360.50010229893
t160,0.0,0.0,10667.696560485747,0.0,10667.696560485747
t161,0.0,0.0,6621.25953431812,0.0,6621.25953431812
t162,0.0,0.0,363.39636094124114,0.0,363.39636094124114
t163,0.0,0.0,19014.99463617918,0.0,19014.99463617918
t164,0.0,0.0,18627.713328914502,0.0,18627.713328914502
t165,0.0,0.0,12644.51794499611,0.0,12644.51794499611
t166,0.0,0.0,693.3919936102733,0.0,693.3919936102733
t167,0.0,0.0,2390.3224594645176,0.0,2390.3224594645176
t168,0.0,0.0,4972.59477462978,0.0,4972.59477462978
t169,0.0,0.0,14531.213248133015,0.0,14531.213248133015
t170,0.0,0.0,13971.903447280298,0.0,13971.903447280298
t171,0.0,0.0,24337.87520198958,0.0,24337.87520198958
t172,0.0,0.0,14037.408149824201,0.0,14037.408149824201
t173,0.0,0.0,6919.660822343339,0.0,6919.660822343339
t174,0.0,0.0,25428.57539096829,0.0,25428.57539096829
t175,0.0,0.0,23890.795762287125,0.0,23890.795762287125
t176,0.0,0.0,11770.678060204604,0.0,11770.678060204604
t177,0.0,0.0,15791.705966492478,0.0,15791.705966492478
t178,0.0,0.0,8808.683369592405,0.0,8808.683369592405
t179,0.0,0.0,15345.465308146828,0.0,15345.465308146828
t180,0.0,0.0,18802.888733775002,0.0,18802.888733775002
t181,0.0,0.0,18887.55870925229,0.0,18887.55870925229
t182,0.0,0.0,8828.857476273999,0.0,8828.857476273999
t183,0.0,0.0,13170.291116950977,0.0,13170.291116950977
t184,0.0,0.0,5638.943189948913,0.0,5638.943189948913
t185,0.0,0.0,0.0,0.0,0.0
t186,0.0,0.0,3138.0136574968133,0.0,3138.0136574968133
t187,0.0,0.0,465.055619704902,0.0,465.055619704902
t188,0.0,0.0,0.0,0.0,0.0
t189,0.0,0.0,7288.349783795745,0.0,7288.349783795745
t190,0.0,0.0,0.0,0.0,0.0
t191,0.0,0.0,0.0,0.0,0.0
t192,0.0,0.0,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0,0.0
t195,0.0,0.0,0.0,0.0,0.0
t196,0.0,0.0,0.0,0.0,0.0
t197,0.0,0.0,0.0,0.0,0.0
t198,0.0,0.0,0.0,0.0,0.0
t199,0.0,0.0,0.0,0.0,0.0
t200,0.0,0.0,0.0,0.0,0.0
t201,0.0,0.0,0.0,0.0,0.0
t202,0.0,0.0,0.0,0.0,0.0
t203,0.0,0.0,0.0,0.0,0.0
t204,0.0,0.0,0.0,0.0,0.0
t205,0.0,0.0,0.0,0.0,0.0
t206,0.0,1036.8631702153089,1637.8616796387344,0.0,2674.724849854043
t207,0.0,0.0,5637.887238294604,0.0,5637.887238294604
t208,0.0,0.0,1711.364162107941,0.0,1711.364162107941
t209,0.0,0.0,15184.75806447897,0.0,15184.75806447897
t210,0.0,0.0,0.0,0.0,0.0
t211,0.0,0.0,0.0,0.0,0.0
t212,0.0,0.0,0.0,0.0,0.0
t213,0.0,0.0,0.0,0.0,0.0
t214,0.0,0.0,15345.584207326943,0.0,15345.584207326943
t215,0.0,0.0,16151.361452974705,0.0,16151.361452974705
t216,0.0,0.0,18137.613488186296,0.0,18137.613488186296
t217,0.0,0.0,5405.978475091688,0.0,5405.978475091688
t218,0.0,0.0,0.0,0.0,0.0
t219,0.0,0.0,442.525468687105,0.0,442.525468687105
t220,0.0,0.0,901.0523904238959,0.0,901.0523904238959
t221,0.0,0.0,0.0,0.0,0.0
t222,0.0,0.0,0.0,0.0,0.0
t223,0.0,0.0,7526.462740439971,0.0,7526.462740439971
t224,0.0,0.0,9551.827630591059,0.0,9551.827630591059
t225,0.0,0.0,16552.139759234604,0.0,16552.139759234604
t226,0.0,0.0,10082.066225526014,0.0,10082.066225526014
t227,0.0,0.0,15449.224483663276,0.0,15449.224483663276
t228,0.0,0.0,4874.079003409209,0.0,4874.079003409209
t229,0.0,0.0,10611.819338401032,0.0,10611.819338401032
t230,0.0,0.0,12344.730335952128,0.0,12344.730335952128
t231,0.0,0.0,8352.278910483754,0.0,8352.278910483754
t232,0.0,0.0,17162.83315540195,0.0,17162.83315540195
t233,0.0,0.0,7983.2559330116555,0.0,7983.2559330116555
t234,0.0,0.0,741.4250563706055,0.0,741.4250563706055
t235,0.0,0.0,5408.618985472188,0.0,5408.618985472188
t236,0.0,0.0,0.0,0.0,0.0
t237,0.0,0.0,0.0,0.0,0.0
t238,0.0,0.0,4249.917188003639,0.0,4249.917188003639
t239,0.0,0.0,0.0,0.0,0.0
t240,0.0,0.0,0.0,0.0,0.0
t241,0.0,0.0,0.0,0.0,0.0
t242,0.0,0.0,0.0,0.0,0.0
t243,0.0,0.0,0.0,0.0,0.0
t244,0.0,0.0,0.0,0.0,0.0
t245,0.0,0.0,0.0,0.0,0.0
t246,0.0,0.0,0.0,0.0,0.0
t247,0.0,0.0,0.0,0.0,0.0
t248,0.0,0.0,0.0,0.0,0.0
t249,0.0,0.0,0.0,0.0,0.0
t250,0.0,0.0,0.0,0.0,0.0
t251,0.0,0.0,0.0,0.0,0.0
t252,0.0,0.0,0.0,0.0,0.0
t253,0.0,0.0,0.0,0.0,0.0
t254,0.0,0.0,0.0,0.0,0.0
t255,0.0,0.0,0.0,0.0,0.0
t256,0.0,0.0,0.0,0.0,0.0
t257,0.0,0.0,0.0,0.0,0.0
t258,0.0,0.0,0.0,0.0,0.0
t259,0.0,0.0,0.0,0.0,0.0
t260,0.0,0.0,0.0,0.0,0.0
t261,0.0,0.0,0.0,0.0,0.0
t262,0.0,0.0,0.0,0.0,0.0
t263,0.0,0.0,0.0,0.0,0.0
