Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.5380232396150524e7,5.172533645248237e7,5.549211262586672e7,3.004803211406277e7,1.5264571358856237e8
t1,0.0,-0.0,12060.11343977099,4948.979267071399,17009.092706842388
t2,0.0,-0.0,11454.113439770988,4948.979267071399,16403.092706842388
t3,0.0,-0.0,0.0,10450.535986956893,10450.535986956893
t4,0.0,-0.0,0.0,10337.035986956893,10337.035986956893
t5,0.0,-0.0,0.0,10319.535986956893,10319.535986956893
t6,0.0,-0.0,2521.1348020470155,9145.968585933386,11667.103387980402
t7,0.0,-0.0,15169.38308652805,3008.3444436928685,18177.72753022092
t8,0.0,-0.0,8340.006810755816,6591.532581578986,14931.539392334802
t9,0.0,5980.832954117082,11339.496559973504,2386.8712299116,19707.200744002184
t10,-0.0,14422.581997280653,203.39477199084834,4014.5476023211427,18640.524371592644
t11,-0.0,19324.242732020793,69.04201302703079,1799.3936144329812,21192.678359480808
t12,-0.0,21798.606449969175,58.63557006999113,629.9149769373109,22487.156996976475
t13,-0.0,20870.720055738533,121.18892838538211,1092.5814948949348,22084.49047901885
t14,0.0,20036.967063821143,0.0,1514.5524550463226,21551.519518867466
t15,0.0,16853.240921297882,0.0,3045.915526307952,19899.156447605834
t16,0.0,11131.27482354225,0.0,5941.898575185768,17073.173398728017
t17,0.0,2158.344438753888,455.58358733232575,10796.071973913786,13409.999999999998
t18,0.0,-0.0,15437.411073370124,4948.830450271831,20386.241523641955
t19,0.0,-0.0,19133.881301942583,3058.0953359856026,22191.976637928186
t20,0.0,-0.0,24808.071973913786,-0.0,24808.071973913786
t21,0.0,-0.0,2697.9280260862133,10796.071973913786,13494.0
t22,0.0,-0.0,1975.9280260862138,10796.071973913786,12772.0
t23,0.0,-0.0,10190.944010638845,6241.063981637471,16432.007992276318
t24,0.0,-0.0,77.92802608621408,10796.071973913786,10874.0
t25,0.0,-0.0,14360.051132367485,3230.51042077315,17590.561553140637
t26,0.0,-0.0,1948.06508607719,9179.503443918298,11127.568529995488
t27,0.0,-0.0,17323.544766337425,1368.2636037881819,18691.808370125607
t28,0.0,-0.0,12406.090673829249,3798.990650042269,16205.081323871518
t29,0.0,-0.0,0.0,10103.035986956893,10103.035986956893
t30,0.0,-0.0,20720.071973913786,-0.0,20720.071973913786
t31,0.0,-0.0,5877.933923199193,7807.069025357297,13685.002948556488
t32,0.0,-0.0,13230.663877150066,4447.20404838186,17677.867925531926
t33,0.0,5379.051560757354,8413.007639902638,4554.506386626898,18346.56558728689
t34,0.0,11490.998896667897,0.0,6102.036538622944,17593.03543529084
t35,0.0,16648.16458054401,0.0,3814.9536966848887,20463.1182772289
t36,0.0,19008.2234528263,0.0,2754.424260543743,21762.647713370043
t37,0.0,19206.575979129226,0.0,2644.247997392281,21850.823976521508
t38,0.0,18201.365718712696,0.0,3102.8531276005465,21304.21884631324
t39,0.0,15723.640093538841,0.0,4320.215940187473,20043.856033726315
t40,0.0,10734.569770936392,0.0,6917.751101488697,17652.320872425087
t41,0.0,3371.992947149766,897.935078936448,10796.071973913786,15066.0
t42,0.0,-0.0,19209.231348253757,3980.4203128300123,23189.65166108377
t43,0.0,-0.0,19742.165973738032,3641.953000087877,23384.11897382591
t44,0.0,-0.0,9205.186453623297,8714.442760145244,17919.62921376854
t45,0.0,-0.0,22469.290040846394,1761.8909665336942,24231.181007380088
t46,0.0,-0.0,18928.80203419151,3028.1349698611375,21956.93700405265
t47,0.0,-0.0,2143.928026086213,10796.071973913786,12939.999999999998
t48,0.0,-0.0,21809.86049171029,397.10574110174866,22206.96623281204
t49,0.0,-0.0,4342.453869505608,8755.309052204091,13097.762921709698
t50,0.0,-0.0,17930.716565547576,1773.6777041831053,19704.39426973068
t51,0.0,-0.0,6024.962954113689,7636.554509900048,13661.517464013737
t52,0.0,-0.0,16225.970081265512,2547.050946324137,18773.02102758965
t53,0.0,-0.0,7568.322493186443,7064.374740363672,14632.697233550116
t54,0.0,-0.0,19011.42100973298,1902.825482090403,20914.246491823385
t55,0.0,-0.0,15392.384360123231,4703.343806895278,20095.72816701851
t56,0.0,-0.0,9882.341679859686,8013.365147027049,17895.706826886737
t57,0.0,7218.014813091274,11632.76235164232,3623.1474045900977,22473.92456932369
t58,0.0,14657.915503063788,0.0,5772.078235424999,20429.99373848879
t59,0.0,19455.35711381425,4355.962215136649,1264.376322481443,25075.695651432343
t60,0.0,21247.253664991546,5118.81830892224,-0.0,26366.071973913786
t61,0.0,21687.663511528553,4615.408462385232,-0.0,26303.071973913786
t62,0.0,20867.35814851306,5413.713825400727,-0.0,26281.071973913786
t63,0.0,18503.937369005296,0.0,3859.0673024542452,22363.00467145954
t64,0.0,12711.37121951472,0.0,6861.850377199533,19573.221596714255
t65,0.0,4609.174806123957,16974.6808539033,3036.108156943263,24619.96381697052
t66,0.0,-0.0,7398.928026086214,10796.071973913786,18195.0
t67,0.0,-0.0,7433.928026086214,10796.071973913786,18230.0
t68,-0.0,-0.0,7127.928026086213,10796.071973913786,17924.0
t69,0.0,-0.0,11918.29269412133,8109.389639896229,20027.682334017558
t70,0.0,-0.0,26140.751549833327,486.6602120402313,26627.411761873558
t71,0.0,-0.0,4155.928026086213,10796.071973913786,14952.0
t72,0.0,-0.0,24552.071973913786,-0.0,24552.071973913786
t73,0.0,-0.0,6475.9867417780515,8666.042616067867,15142.029357845919
t74,0.0,-0.0,18867.852871646697,2274.609551133544,21142.46242278024
t75,0.0,-0.0,23218.071973913786,0.0,23218.071973913786
t76,0.0,-0.0,23240.071973913786,0.0,23240.071973913786
t77,0.0,-0.0,23580.07197391379,-0.0,23580.07197391379
t78,0.0,-0.0,21404.590859643482,1615.7405571351528,23020.331416778634
t79,0.0,-0.0,16659.11343977099,4948.979267071399,21608.092706842388
t80,0.0,-0.0,11444.070784280597,8079.500594816594,19523.57137909719
t81,0.0,7655.06275240281,0.0,9984.504610755488,17639.567363158298
t82,0.0,15135.306329081004,0.0,6221.882822416392,21357.189151497398
t83,-0.0,20326.09108521185,0.0,3607.4904443509686,23933.58152956282
t84,-0.0,22830.711968189495,0.0,2273.180002862146,25103.891971051642
t85,-0.0,22618.911812984672,0.0,2260.5800804645587,24879.49189344923
t86,0.0,21791.88263551823,0.0,2604.0946691977797,24395.97730471601
t87,-0.0,17750.870150499268,0.0,4560.60091170726,22311.47106220653
t88,3791.631603793626,11238.855854757394,368.5155989665369,842.996942482443,16242.0
