cpa_id,cluster
15698,1
15703,1
15704,1
15705,1
15708,1
15709,1
15710,1
15906,1
15907,1
15908,1
15913,1
15914,1
15915,1
15916,1
15917,1
15918,1
15919,1
15920,1
15921,1
15922,1
15923,1
15924,1
15925,1
15926,1
15927,1
15928,1
15929,1
15930,1
15931,1
15932,1
15933,1
15934,1
15935,1
15936,1
15937,1
15938,1
16107,1
16108,1
16110,1
16111,1
16112,1
16114,1
16115,1
16116,1
16117,1
16118,1
16119,1
16120,1
16121,1
16122,1
16124,1
16125,1
16126,1
16127,1
16132,1
16133,1
16137,1
16138,1
16139,1
16144,1
16145,1
16146,1
16152,1
16153,1
15666,2
15667,2
15668,2
15669,2
15670,2
15671,2
15672,2
15673,2
15674,2
15675,2
15676,2
15677,2
15678,2
15679,2
15680,2
15681,2
15682,2
15683,2
15684,2
15685,2
15686,2
15687,2
15688,2
15689,2
15690,2
15691,2
15692,2
15693,2
15694,2
15695,2
15696,2
15697,2
15699,2
15700,2
15701,2
15702,2
15706,2
15707,2
16106,2
16109,2
16113,2
16123,2
16128,2
16129,2
16130,2
16131,2
16134,2
16135,2
16136,2
16140,2
16141,2
16142,2
16143,2
16147,2
16148,2
16149,2
16150,2
16151,2
16154,2
16155,2
16156,2
16157,2
16158,2
16159,2
16160,2
16161,2
16162,2
16163,2
