cpa_id,cluster
14238,1
14239,1
14240,1
14241,1
14242,1
14243,1
14244,1
14245,1
14246,1
14247,1
14248,1
14249,1
14250,1
14251,1
14252,1
14253,1
14254,1
14255,1
14256,1
14257,1
14258,1
14259,1
14260,1
14261,1
14262,1
14263,1
14264,1
14265,1
14266,1
14267,1
14268,1
14269,1
14270,1
14271,1
14272,1
14273,1
14274,1
14275,1
14276,1
14277,1
14278,1
14279,1
14280,1
14281,1
14282,1
14283,1
14284,1
14285,1
14286,1
14287,1
14288,1
14289,1
14290,1
14291,1
14292,1
14293,1
14294,1
14295,1
14296,1
14297,1
14298,1
14299,1
14300,1
14301,1
14302,1
14303,1
14304,1
14305,1
14306,1
14307,1
14308,1
14309,1
14310,1
14311,1
14312,1
14313,1
14314,1
14315,1
14316,1
14317,1
14318,1
14319,1
14320,1
14321,1
14322,1
14323,1
14324,1
14325,1
14326,1
14327,1
14328,1
14329,1
14330,1
14331,1
14332,1
14333,1
14334,1
14335,1
14336,1
14337,1
14338,1
14339,1
14340,1
14341,1
14342,1
14343,1
14344,1
14345,1
14346,1
14347,1
14348,1
14349,1
14350,1
14351,1
14352,1
14353,1
14354,1
14355,1
14356,1
14357,1
14358,1
14359,1
14360,1
14361,1
14362,1
14363,1
14364,1
14365,1
14366,1
14367,1
14368,1
14369,1
14370,1
14371,1
14372,1
14373,1
14374,1
14375,1
14376,1
14377,1
14378,1
14379,1
14380,1
14381,1
14382,1
14383,1
14384,1
14385,1
14386,1
14387,1
14388,1
14389,1
14390,1
14391,1
14392,1
14393,1
14394,1
14395,1
14396,1
14397,1
14398,1
14399,1
14400,1
14401,1
14402,1
14403,1
14404,1
14405,1
14406,1
14407,1
14408,1
14409,1
14410,1
14411,1
14412,1
14413,1
14414,1
14415,1
14416,1
14417,1
14418,1
14419,1
14420,1
14421,1
14422,1
14423,1
14424,1
14425,1
14426,1
14427,1
14428,1
14429,1
14430,1
14431,1
14432,1
14433,1
14434,1
14435,1
14436,1
14437,1
14438,1
14439,1
14440,1
14441,1
14442,1
14443,1
14444,1
14445,1
14446,1
14447,1
14448,1
14449,1
14450,1
14451,1
14452,1
14453,1
14454,1
14455,1
14456,1
14457,1
14458,1
14459,1
14460,1
14461,1
14462,1
14463,1
14464,1
14465,1
14466,1
14467,1
14468,1
14469,1
14470,1
14471,1
14472,1
14473,1
14476,1
14477,1
14478,1
14479,1
14480,1
14481,1
14482,1
14483,1
14484,1
14487,1
14488,1
14489,1
14490,1
14491,1
14492,1
14493,1
14494,1
14495,1
14496,1
14497,1
14498,1
14501,1
14502,1
14503,1
14504,1
14505,1
14506,1
14510,1
14511,1
14512,1
14513,1
14514,1
14515,1
14516,1
14517,1
14518,1
14519,1
14520,1
14521,1
14525,1
14526,1
14527,1
14528,1
14529,1
14530,1
14531,1
14532,1
14533,1
14534,1
14537,1
14538,1
14539,1
14540,1
14541,1
14542,1
14543,1
14544,1
14549,1
14550,1
14551,1
14552,1
14553,1
14554,1
14555,1
14556,1
14557,1
14558,1
14563,1
14564,1
14565,1
14566,1
14567,1
14568,1
14569,1
14570,1
14571,1
14580,1
14581,1
14582,1
14583,1
14584,1
14585,1
14586,1
14587,1
14593,1
14594,1
14595,1
14596,1
14597,1
14599,1
14600,1
14603,1
14604,1
14605,1
14608,1
15591,1
15609,1
15621,1
14474,2
14475,2
14485,2
14486,2
14499,2
14500,2
14507,2
14508,2
14509,2
14522,2
14523,2
14524,2
14535,2
14536,2
14545,2
14546,2
14547,2
14548,2
14559,2
14560,2
14561,2
14562,2
14572,2
14573,2
14574,2
14575,2
14576,2
14577,2
14578,2
14588,2
14589,2
14590,2
14591,2
14598,2
14601,2
14602,2
14606,2
14607,2
14610,2
14611,2
14612,2
14614,2
14615,2
14616,2
14617,2
14618,2
14619,2
14621,2
14622,2
14623,2
14624,2
14625,2
14627,2
14628,2
14629,2
14630,2
14631,2
14632,2
14633,2
14634,2
14635,2
14636,2
14637,2
14638,2
14639,2
14640,2
14641,2
14642,2
14643,2
14644,2
14645,2
14646,2
14647,2
14649,2
14650,2
14651,2
14652,2
14653,2
14654,2
14655,2
14656,2
14657,2
14658,2
14659,2
14660,2
14661,2
14662,2
14663,2
14664,2
14667,2
14668,2
14669,2
14670,2
14671,2
14672,2
14673,2
14674,2
14678,2
14679,2
14680,2
14681,2
14682,2
14683,2
14684,2
14685,2
14686,2
14688,2
14689,2
14690,2
14691,2
14692,2
14693,2
14694,2
14695,2
14698,2
14699,2
14700,2
14701,2
14702,2
14703,2
14704,2
14705,2
14706,2
14707,2
14708,2
14710,2
14711,2
14712,2
14713,2
14714,2
14715,2
14716,2
14717,2
14718,2
14719,2
14720,2
14721,2
14723,2
14724,2
14725,2
14726,2
14727,2
14728,2
14729,2
14730,2
14731,2
14734,2
14735,2
14736,2
14737,2
14738,2
14739,2
14740,2
14741,2
14742,2
14744,2
14745,2
14746,2
14747,2
14748,2
14749,2
14750,2
14751,2
14752,2
14753,2
14754,2
14755,2
14756,2
14757,2
14758,2
14759,2
14760,2
14761,2
14762,2
14763,2
14764,2
14765,2
14766,2
14767,2
14768,2
14769,2
14770,2
14771,2
14772,2
14773,2
14774,2
14775,2
14776,2
14777,2
14778,2
14779,2
14780,2
14781,2
14782,2
14783,2
14784,2
14785,2
14786,2
14787,2
14788,2
14789,2
14790,2
14791,2
14792,2
14793,2
14794,2
14795,2
14796,2
14797,2
14798,2
14799,2
14800,2
14801,2
14802,2
14803,2
14804,2
14805,2
14806,2
14807,2
14808,2
14809,2
14810,2
14811,2
14812,2
14813,2
14814,2
14815,2
14816,2
14817,2
14818,2
14819,2
14820,2
14821,2
14822,2
14823,2
14824,2
14825,2
14826,2
14827,2
14828,2
14829,2
14830,2
14831,2
14832,2
14833,2
14834,2
14835,2
14836,2
14837,2
14838,2
14839,2
14840,2
14841,2
14842,2
14843,2
14844,2
14845,2
14846,2
14847,2
14848,2
14849,2
14850,2
14851,2
14852,2
14853,2
14854,2
14855,2
14856,2
14857,2
14858,2
14859,2
14860,2
14861,2
14862,2
14863,2
14864,2
14865,2
14866,2
14867,2
14868,2
14869,2
14870,2
14871,2
14872,2
14873,2
14874,2
14875,2
14876,2
14877,2
14878,2
14879,2
14880,2
14881,2
14882,2
14883,2
14884,2
14885,2
14886,2
14887,2
14888,2
14889,2
14890,2
14895,2
14896,2
14897,2
14898,2
14899,2
14900,2
14901,2
14902,2
14907,2
14908,2
14909,2
14910,2
14911,2
14912,2
14916,2
14918,2
14927,2
15492,2
15505,2
15506,2
15531,2
15553,2
15554,2
15573,2
15574,2
15622,2
15623,2
15624,2
15633,2
15634,2
15635,2
15645,2
15646,2
15647,2
15648,2
15658,2
15659,2
15660,2
