cpa_id,cluster
326357,1
326512,1
326516,1
326526,1
326531,1
326533,1
326541,1
326543,1
326547,1
326549,1
326553,1
326554,1
326556,1
326559,1
326561,1
326564,1
326566,1
326569,1
326570,1
326579,1
326581,1
326583,1
326584,1
326586,1
326588,1
326590,1
326591,1
326595,1
326597,1
326599,1
326606,1
326607,1
326608,1
326609,1
326613,1
326614,1
326617,1
326620,1
326624,1
326627,1
326628,1
326648,1
326658,1
326663,1
326665,1
326672,1
326674,1
326690,1
326702,1
326705,1
326712,1
326713,1
326728,1
326758,1
326765,1
326771,1
326777,1
326780,1
326783,1
326784,1
326785,1
326789,1
326790,1
326791,1
326798,1
326815,1
326821,1
326826,1
326833,1
326834,1
326836,1
326837,1
326838,1
326847,1
326848,1
326852,1
326854,1
326856,1
326858,1
326862,1
326867,1
326873,1
326876,1
326877,1
326880,1
326883,1
326884,1
326886,1
326889,1
326895,1
326897,1
326899,1
326903,1
326908,1
326909,1
326910,1
326912,1
326914,1
326918,1
326920,1
326921,1
326923,1
326928,1
326929,1
326930,1
326934,1
326936,1
326937,1
326940,1
326942,1
326943,1
326944,1
326945,1
326947,1
326948,1
326952,1
326953,1
326963,1
326965,1
326968,1
326973,1
326978,1
326981,1
326982,1
326983,1
326989,1
326996,1
327003,1
327008,1
327011,1
327012,1
327013,1
327017,1
327023,1
327027,1
327030,1
327031,1
327032,1
327035,1
327036,1
327039,1
327041,1
327042,1
327050,1
327051,1
327052,1
327056,1
327057,1
327060,1
327061,1
327063,1
327064,1
327070,1
327073,1
327074,1
327077,1
327082,1
327083,1
327086,1
327089,1
327090,1
327092,1
327095,1
327096,1
327097,1
327098,1
327099,1
327101,1
327102,1
327104,1
327109,1
327110,1
327112,1
327113,1
327114,1
327116,1
327117,1
327118,1
327120,1
327122,1
327123,1
327125,1
327126,1
327127,1
327128,1
327129,1
327130,1
327131,1
327133,1
327134,1
327135,1
327136,1
327138,1
327139,1
327140,1
327141,1
327142,1
327143,1
327145,1
327147,1
327148,1
327149,1
327150,1
327151,1
327152,1
327153,1
327155,1
327156,1
327157,1
327158,1
327159,1
327164,1
327165,1
327166,1
327167,1
327168,1
327169,1
327170,1
327171,1
327172,1
327173,1
327174,1
327175,1
327176,1
327177,1
327178,1
327179,1
327180,1
327181,1
327182,1
327183,1
327184,1
327185,1
327186,1
327187,1
327188,1
327189,1
327190,1
327191,1
327192,1
327193,1
327194,1
327195,1
327196,1
327197,1
327198,1
327199,1
327200,1
327201,1
327202,1
327203,1
327204,1
327205,1
327206,1
327207,1
327208,1
327209,1
327210,1
327211,1
327212,1
327213,1
327214,1
327215,1
327216,1
327217,1
327218,1
327219,1
327220,1
327221,1
327222,1
327223,1
327224,1
327225,1
327226,1
327227,1
327228,1
327229,1
327231,1
327232,1
327234,1
327235,1
327236,1
327237,1
327238,1
327239,1
327240,1
327241,1
327242,1
327243,1
327244,1
327245,1
327246,1
327247,1
327248,1
327249,1
327250,1
327251,1
327252,1
327253,1
327254,1
327255,1
327256,1
327257,1
327258,1
327259,1
327260,1
327261,1
327262,1
327263,1
327264,1
327265,1
327266,1
327267,1
327268,1
327269,1
327270,1
327271,1
327272,1
327273,1
327274,1
327275,1
327276,1
327277,1
327278,1
327279,1
327280,1
327281,1
327282,1
327283,1
327284,1
327285,1
327286,1
327287,1
327288,1
327289,1
327290,1
327291,1
327292,1
327293,1
327294,1
327295,1
327296,1
327297,1
327298,1
327299,1
327300,1
327301,1
327302,1
327303,1
327304,1
327305,1
327306,1
327307,1
327308,1
327309,1
327310,1
327312,1
327313,1
327314,1
327315,1
327316,1
327317,1
327318,1
327319,1
327320,1
327321,1
327322,1
327323,1
327324,1
327325,1
327326,1
327327,1
327328,1
327329,1
327330,1
327331,1
327332,1
327333,1
327334,1
327335,1
327336,1
327337,1
327338,1
327339,1
327340,1
327341,1
327342,1
327343,1
327344,1
327345,1
327347,1
327348,1
327349,1
327350,1
327351,1
327352,1
327353,1
327354,1
327355,1
327356,1
327357,1
327358,1
327359,1
327360,1
327361,1
327362,1
327363,1
327364,1
327365,1
327366,1
327367,1
327368,1
327369,1
327370,1
327371,1
327372,1
327373,1
327374,1
327375,1
327376,1
327377,1
327378,1
327379,1
327380,1
327381,1
327382,1
327383,1
327384,1
327385,1
327386,1
327387,1
327388,1
327389,1
327390,1
327391,1
327392,1
327393,1
327394,1
327395,1
327396,1
327397,1
327398,1
327399,1
327400,1
327401,1
327402,1
327403,1
327404,1
327405,1
327406,1
327407,1
327408,1
327409,1
327410,1
327411,1
327412,1
327413,1
327414,1
327415,1
327416,1
327417,1
327418,1
327419,1
327420,1
327421,1
327422,1
327423,1
327424,1
327426,1
327427,1
327428,1
327429,1
327430,1
327431,1
327432,1
327433,1
327434,1
327435,1
327436,1
327437,1
327438,1
327439,1
327440,1
327441,1
327442,1
327443,1
327445,1
327446,1
327447,1
327448,1
327449,1
327450,1
327451,1
327452,1
327453,1
327454,1
327455,1
327456,1
327457,1
327458,1
327459,1
327460,1
327461,1
327462,1
327463,1
327464,1
327465,1
327466,1
327467,1
327468,1
327470,1
327473,1
327475,1
327479,1
327480,1
343816,1
343830,1
343831,1
345755,1
345759,1
345760,1
345761,1
345765,1
345766,1
345767,1
345773,1
345774,1
345964,1
345975,1
345976,1
345987,1
345998,1
351145,1
351146,1
351225,1
351233,1
351234,1
351324,1
351695,1
351751,1
351752,1
351753,1
351754,1
351755,1
351756,1
351757,1
351758,1
351759,1
351760,1
351761,1
351762,1
351763,1
351764,1
351765,1
351766,1
351767,1
351768,1
351769,1
351770,1
351771,1
351772,1
351773,1
351774,1
351777,1
351778,1
351782,1
351813,1
351814,1
351815,1
351816,1
351817,1
351818,1
351819,1
351820,1
351821,1
351822,1
351823,1
351824,1
351825,1
351826,1
351827,1
351828,1
351829,1
351984,1
351985,1
351986,1
351987,1
352005,1
352006,1
352007,1
352008,1
352009,1
352010,1
352011,1
352012,1
352028,1
352072,1
352073,1
352074,1
352075,1
352076,1
352077,1
352078,1
352079,1
352080,1
352081,1
352082,1
352083,1
352084,1
352085,1
352086,1
352087,1
352088,1
352089,1
352090,1
352091,1
352092,1
352093,1
352094,1
352095,1
352099,1
352100,1
352101,1
352102,1
352103,1
352104,1
352105,1
352106,1
352107,1
352108,1
352109,1
352110,1
352111,1
352112,1
352113,1
352114,1
352115,1
352116,1
352123,1
352124,1
352125,1
352126,1
352127,1
352128,1
352129,1
352130,1
352131,1
352132,1
352133,1
352134,1
352135,1
352136,1
352137,1
352138,1
352139,1
352140,1
352150,1
352151,1
352152,1
352153,1
352154,1
352155,1
352156,1
352157,1
352158,1
352159,1
352160,1
352161,1
352162,1
352176,1
352177,1
352178,1
352179,1
352180,1
352181,1
352182,1
352183,1
352184,1
352185,1
352186,1
352187,1
352188,1
352205,1
352206,1
352207,1
352208,1
352209,1
352210,1
352211,1
352212,1
352213,1
352214,1
352215,1
352237,1
352239,1
352240,1
352241,1
352242,1
352243,1
352244,1
352273,1
352274,1
352275,1
352276,1
352301,1
352487,1
352488,1
352489,1
352490,1
352491,1
352493,1
352494,1
352495,1
352496,1
352498,1
352499,1
352500,1
352502,1
352503,1
352504,1
352505,1
352506,1
352526,1
352527,1
352528,1
352564,1
352566,1
352567,1
352568,1
352569,1
352570,1
352571,1
352572,1
352573,1
352574,1
352575,1
352576,1
352577,1
352578,1
352579,1
352580,1
352581,1
352582,1
352583,1
352642,1
352643,1
352644,1
352645,1
352646,1
352647,1
352648,1
352649,1
352650,1
352651,1
352652,1
352653,1
352654,1
352658,1
352659,1
352660,1
352661,1
352662,1
352663,1
352694,1
352695,1
352697,1
352698,1
352704,1
352705,1
352708,1
352709,1
352712,1
352713,1
352714,1
352715,1
352716,1
352717,1
352718,1
352721,1
352722,1
352723,1
352724,1
352725,1
352812,1
352813,1
352814,1
352815,1
352816,1
352817,1
352818,1
352819,1
352820,1
352822,1
352840,1
352845,1
352862,1
352863,1
352869,1
352870,1
352871,1
352872,1
352873,1
352874,1
352875,1
352876,1
352882,1
352883,1
352884,1
352885,1
352886,1
352887,1
352898,1
352899,1
352900,1
352901,1
352902,1
352910,1
352911,1
352912,1
352921,1
352949,1
352950,1
353279,1
353281,1
353282,1
353283,1
353284,1
353285,1
353286,1
353287,1
353680,1
353681,1
353682,1
353683,1
353684,1
353685,1
353686,1
353687,1
353688,1
353689,1
353690,1
353691,1
353692,1
353693,1
353954,1
353955,1
353956,1
353957,1
353958,1
353959,1
353960,1
354939,1
354940,1
354941,1
354942,1
354943,1
354944,1
354945,1
354946,1
354947,1
354948,1
354949,1
354950,1
354951,1
354952,1
354953,1
354954,1
354955,1
354956,1
354957,1
357731,1
357732,1
357733,1
357734,1
357735,1
357736,1
357737,1
357738,1
357739,1
357740,1
357741,1
357742,1
357743,1
357744,1
357745,1
357746,1
357747,1
357748,1
357749,1
357750,1
357751,1
357752,1
357753,1
357754,1
357755,1
357756,1
357757,1
357758,1
357759,1
357760,1
357778,1
357779,1
358635,1
358846,1
358857,1
358858,1
358957,1
358963,1
358964,1
358973,1
358974,1
358975,1
358976,1
358983,1
358984,1
358985,1
358986,1
358987,1
358988,1
358989,1
358990,1
358991,1
358994,1
358995,1
359000,1
359001,1
359002,1
359047,1
359048,1
359049,1
359050,1
359051,1
359052,1
359053,1
359201,1
359625,1
359678,1
359679,1
359766,1
359767,1
359769,1
359770,1
359771,1
359772,1
359775,1
359776,1
359780,1
359781,1
359788,1
359852,1
359853,1
359854,1
359855,1
359856,1
359857,1
359858,1
359859,1
359860,1
359861,1
359862,1
359863,1
359864,1
359865,1
359866,1
359867,1
359870,1
359871,1
359872,1
359873,1
359874,1
359875,1
359876,1
359877,1
359878,1
359879,1
359880,1
359881,1
360222,1
360224,1
360226,1
360227,1
360228,1
360229,1
360230,1
360231,1
360234,1
360261,1
360272,1
360273,1
360302,1
360418,1
360419,1
360420,1
360421,1
360422,1
360423,1
360424,1
360425,1
360426,1
360427,1
360428,1
360429,1
360430,1
360431,1
360432,1
360433,1
360434,1
360435,1
360436,1
360437,1
360438,1
360439,1
360440,1
360441,1
360442,1
360443,1
360444,1
360445,1
360453,1
360454,1
360455,1
360456,1
360457,1
360458,1
360459,1
360469,1
360470,1
360471,1
360472,1
360473,1
360487,1
360488,1
360503,1
360578,1
360579,1
360580,1
360581,1
360582,1
360583,1
360584,1
360585,1
360586,1
360587,1
360588,1
360589,1
360590,1
360591,1
360597,1
360598,1
360599,1
360600,1
360601,1
360650,1
360651,1
360820,1
360898,1
360899,1
360900,1
360901,1
360946,1
361023,1
361036,1
361067,1
361068,1
361084,1
361092,1
361118,1
361119,1
361120,1
361121,1
361122,1
361126,1
361127,1
361128,1
361129,1
361149,1
361153,1
361154,1
361155,1
361182,1
361253,1
361254,1
361263,1
361264,1
361717,1
361718,1
361719,1
361720,1
361721,1
361722,1
361723,1
361724,1
361725,1
361726,1
361727,1
361728,1
361729,1
361731,1
361732,1
361733,1
361734,1
361735,1
361737,1
361738,1
361739,1
361740,1
361742,1
361743,1
361761,1
362018,1
362019,1
362020,1
362021,1
362025,1
362026,1
362027,1
362028,1
362029,1
362030,1
362031,1
362032,1
362033,1
362034,1
362035,1
362036,1
362037,1
362038,1
362039,1
362040,1
362041,1
362042,1
362233,1
362234,1
362235,1
362240,1
362241,1
362242,1
362243,1
362272,1
362273,1
362274,1
362277,1
362278,1
362279,1
362280,1
362281,1
362282,1
362283,1
362284,1
362285,1
362286,1
362287,1
362288,1
362289,1
362290,1
362291,1
362292,1
362293,1
362294,1
362295,1
362296,1
362297,1
362298,1
362299,1
362300,1
362301,1
362302,1
362303,1
362304,1
362305,1
362306,1
362307,1
362308,1
362309,1
362310,1
362312,1
362313,1
362314,1
362315,1
362316,1
362317,1
362318,1
362319,1
362320,1
362321,1
362322,1
362323,1
362324,1
362325,1
362326,1
362327,1
362328,1
362329,1
362330,1
362331,1
362332,1
362343,1
362344,1
362366,1
362367,1
362370,1
362372,1
362373,1
362374,1
362375,1
362376,1
362377,1
362378,1
362379,1
362380,1
362381,1
362382,1
362383,1
362384,1
362388,1
362389,1
362390,1
362391,1
362392,1
362393,1
362394,1
362395,1
362396,1
362397,1
362398,1
362399,1
362400,1
362401,1
362402,1
362403,1
362404,1
362405,1
362406,1
362407,1
362408,1
362409,1
362410,1
362411,1
362412,1
362413,1
362414,1
362415,1
362416,1
362417,1
362418,1
362419,1
362420,1
362421,1
362422,1
362423,1
362424,1
362425,1
362426,1
362427,1
362428,1
362429,1
362430,1
362431,1
362432,1
362433,1
362434,1
362435,1
362436,1
362437,1
362438,1
362439,1
362440,1
362441,1
362442,1
362443,1
362444,1
362445,1
362446,1
362447,1
362448,1
362449,1
362450,1
362451,1
362452,1
362453,1
362454,1
362455,1
362456,1
362457,1
362458,1
362459,1
362460,1
362461,1
362462,1
362463,1
362464,1
362465,1
362466,1
362467,1
362468,1
362469,1
362470,1
362471,1
362472,1
362473,1
362474,1
362475,1
362476,1
362477,1
362478,1
362479,1
362480,1
362481,1
362482,1
362483,1
362484,1
362485,1
362486,1
362487,1
362488,1
362489,1
362490,1
362491,1
362492,1
362493,1
362494,1
362495,1
362496,1
362497,1
362498,1
362499,1
362500,1
362501,1
362502,1
362503,1
362504,1
362505,1
362506,1
362507,1
362508,1
362509,1
362510,1
362511,1
362512,1
362513,1
362514,1
362515,1
362516,1
362517,1
362518,1
362519,1
362520,1
362521,1
362522,1
362523,1
362524,1
362525,1
362526,1
362527,1
362528,1
362529,1
362530,1
362531,1
362532,1
362533,1
362534,1
362535,1
362536,1
362537,1
362538,1
362539,1
362540,1
362541,1
362542,1
362543,1
362544,1
362545,1
362546,1
362547,1
362548,1
362549,1
362550,1
362551,1
362552,1
362553,1
362554,1
362555,1
362556,1
362557,1
362558,1
362559,1
362560,1
362561,1
362562,1
362563,1
362564,1
362565,1
362566,1
362567,1
362568,1
362569,1
362570,1
362571,1
362572,1
362573,1
362574,1
362575,1
362576,1
362577,1
362578,1
362579,1
362580,1
362581,1
362582,1
362583,1
362584,1
362585,1
362586,1
362587,1
362588,1
362589,1
362590,1
362591,1
362592,1
362593,1
362594,1
362595,1
362596,1
362597,1
362598,1
362599,1
362600,1
362601,1
362602,1
362603,1
362604,1
362605,1
362606,1
362607,1
362608,1
362609,1
362610,1
362611,1
362612,1
362613,1
362614,1
362615,1
362616,1
362617,1
362618,1
362619,1
362620,1
362621,1
362622,1
362623,1
362624,1
362625,1
362626,1
362627,1
362628,1
362629,1
362630,1
362631,1
362632,1
362633,1
362634,1
362635,1
362636,1
362637,1
362638,1
362639,1
362640,1
362641,1
362642,1
