cpa_id,cluster
53262,1
53275,1
53289,1
53330,1
53362,1
53365,1
53372,1
53378,1
53409,1
53436,1
56874,1
56884,1
56890,1
56891,1
57759,1
57807,1
57817,1
57820,1
57833,1
57845,1
57854,1
57855,1
57858,1
57870,1
57872,1
57876,1
57878,1
58153,1
58158,1
58159,1
58160,1
58773,1
58777,1
58784,1
58790,1
58798,1
58804,1
58806,1
58807,1
58808,1
58822,1
58826,1
58828,1
58830,1
58831,1
58833,1
58838,1
58841,1
58845,1
58846,1
58847,1
58852,1
58857,1
58905,1
58907,1
58916,1
58917,1
58919,1
58920,1
59164,1
59165,1
59392,1
59395,1
59397,1
59403,1
59404,1
59413,1
59419,1
59420,1
59422,1
59425,1
59426,1
59431,1
59432,1
59433,1
59434,1
59441,1
59446,1
59447,1
59463,1
59466,1
59476,1
59493,1
59559,1
59636,1
59637,1
59646,1
59649,1
59663,1
59671,1
59672,1
59874,1
59878,1
59879,1
59904,1
59981,1
60371,1
60383,1
60386,1
60387,1
60388,1
60389,1
60394,1
60395,1
60396,1
60397,1
60398,1
60399,1
60400,1
60401,1
60402,1
60403,1
60409,1
60410,1
60411,1
60412,1
60413,1
60414,1
60415,1
60416,1
60417,1
60418,1
60419,1
60420,1
60424,1
60425,1
60426,1
60427,1
60428,1
60429,1
60430,1
60431,1
60432,1
60433,1
60434,1
60435,1
60441,1
60442,1
60443,1
60444,1
60445,1
60446,1
60449,1
60451,1
60452,1
60453,1
60455,1
60459,1
60460,1
60469,1
60479,1
60480,1
60481,1
60482,1
60483,1
60484,1
60485,1
60486,1
60487,1
60488,1
60489,1
60490,1
60491,1
60492,1
60493,1
60494,1
60495,1
60496,1
60497,1
60498,1
60501,1
60502,1
60505,1
60506,1
60507,1
60508,1
60509,1
60510,1
60511,1
60513,1
60514,1
60515,1
60571,1
60572,1
60576,1
60577,1
60578,1
60579,1
60583,1
60584,1
60851,1
60852,1
60906,1
60918,1
60920,1
60922,1
60923,1
60924,1
60925,1
60926,1
60927,1
60928,1
60929,1
60930,1
60944,1
60949,1
60952,1
60953,1
60954,1
60955,1
60956,1
60957,1
60960,1
60962,1
60963,1
61107,1
61111,1
61113,1
61122,1
61192,1
61212,1
61213,1
61218,1
61242,1
61243,1
61245,1
61246,1
61248,1
61249,1
61250,1
61251,1
61252,1
61253,1
61254,1
61258,1
61261,1
61262,1
61263,1
61264,1
61265,1
61266,1
61267,1
61268,1
61269,1
61270,1
61271,1
61272,1
61273,1
61274,1
61275,1
61276,1
61277,1
61328,1
61330,1
61331,1
61332,1
61333,1
61334,1
61352,1
61353,1
61354,1
73158,1
73159,1
73168,1
73373,1
52967,2
52977,2
52980,2
52994,2
53095,2
53123,2
53143,2
53147,2
53177,2
53300,2
53347,2
53353,2
55312,2
55314,2
55315,2
55342,2
55344,2
55637,2
55638,2
55993,2
56084,2
56089,2
56090,2
56091,2
56092,2
56096,2
56097,2
56098,2
56100,2
56105,2
56106,2
56114,2
56115,2
56116,2
56119,2
56128,2
56129,2
56138,2
56139,2
56148,2
56149,2
56150,2
56160,2
56161,2
56162,2
56179,2
56180,2
56181,2
56186,2
56873,2
56886,2
56892,2
57761,2
57763,2
57764,2
57766,2
57768,2
57776,2
57786,2
57789,2
57799,2
57800,2
57802,2
57803,2
57814,2
57828,2
57829,2
57831,2
57832,2
57834,2
57842,2
57847,2
57848,2
57857,2
57859,2
57860,2
57861,2
57867,2
57877,2
57879,2
