cpa_id,cluster
22684,1
22729,1
22732,1
22754,1
22758,1
22782,1
22786,1
23063,1
23077,1
23104,1
23153,1
23176,1
23181,1
23240,1
23280,1
23347,1
23391,1
23444,1
30172,1
30173,1
30174,1
30182,1
30866,1
30959,1
30960,1
31045,1
31047,1
31049,1
31052,1
31056,1
31057,1
31058,1
31059,1
31060,1
31061,1
31076,1
31081,1
31082,1
31083,1
31121,1
31123,1
31125,1
31126,1
31127,1
31128,1
31129,1
31130,1
31190,1
31191,1
31192,1
31193,1
31194,1
31195,1
31196,1
31264,1
31265,1
31266,1
31267,1
31268,1
31269,1
31730,1
31731,1
31747,1
31748,1
31750,1
31751,1
31752,1
31903,1
31905,1
32105,1
32258,1
32259,1
32319,1
32438,1
32441,1
32442,1
32443,1
32444,1
32447,1
32448,1
32449,1
32450,1
32453,1
32454,1
32455,1
32456,1
32457,1
32458,1
32460,1
32461,1
32462,1
32465,1
32485,1
32486,1
32487,1
32489,1
32490,1
32491,1
32496,1
32497,1
32955,1
33059,1
33064,1
33075,1
33087,1
33124,1
33125,1
33126,1
33127,1
33136,1
33137,1
33138,1
33147,1
33148,1
33149,1
33159,1
33160,1
33170,1
33171,1
33181,1
33182,1
33183,1
33191,1
33192,1
33206,1
33905,1
33906,1
33907,1
34000,1
34001,1
34002,1
34003,1
34006,1
34007,1
34010,1
34013,1
34015,1
34200,1
34201,1
34202,1
34203,1
34213,1
34214,1
34215,1
34216,1
34217,1
34223,1
34224,1
34225,1
34226,1
34227,1
34234,1
34235,1
34236,1
34237,1
34238,1
34239,1
34269,1
34270,1
34271,1
34272,1
34273,1
34274,1
34275,1
34276,1
34277,1
34278,1
34279,1
34280,1
34281,1
34282,1
34283,1
34286,1
34287,1
34289,1
34292,1
34317,1
34325,1
34326,1
34332,1
34334,1
34527,1
34529,1
34549,1
34550,1
34551,1
34552,1
34553,1
34554,1
34555,1
34556,1
34558,1
34563,1
34574,1
34620,1
34621,1
34622,1
34623,1
34624,1
34625,1
34626,1
34627,1
34628,1
34629,1
34630,1
34631,1
34632,1
34633,1
34635,1
34636,1
