cpa_id,cluster
68930,1
68952,1
69021,1
69036,1
69077,1
69114,1
69136,1
69155,1
69186,1
69229,1
69233,1
69279,1
69282,1
69290,1
69310,1
69315,1
69317,1
69324,1
69333,1
69339,1
69384,1
69404,1
69411,1
69412,1
69430,1
69465,1
69469,1
69481,1
69492,1
69494,1
69503,1
69515,1
69517,1
69518,1
69561,1
69629,1
69638,1
69648,1
69655,1
69656,1
69662,1
69667,1
69675,1
69678,1
69679,1
69695,1
69720,1
78532,1
78793,1
79435,1
79747,1
79749,1
79750,1
79920,1
79956,1
80003,1
80007,1
80012,1
80014,1
80017,1
80018,1
80099,1
80214,1
80234,1
80345,1
80346,1
80352,1
80353,1
80360,1
80397,1
80399,1
80400,1
80401,1
80423,1
80427,1
80430,1
80443,1
80460,1
80461,1
80462,1
80470,1
80479,1
80491,1
80533,1
80542,1
80543,1
80545,1
80546,1
80549,1
80550,1
80574,1
80575,1
80580,1
80582,1
80584,1
80585,1
80586,1
80587,1
80588,1
80590,1
80591,1
80592,1
80593,1
80594,1
80595,1
80596,1
80597,1
80600,1
80601,1
80602,1
80603,1
80604,1
80605,1
80606,1
80607,1
80610,1
80611,1
80612,1
80613,1
80616,1
80621,1
80630,1
80641,1
80669,1
80677,1
80679,1
80680,1
80681,1
80693,1
80694,1
80736,1
80737,1
80741,1
80742,1
80765,1
80769,1
80776,1
80777,1
80778,1
80779,1
80780,1
80781,1
80784,1
80785,1
80787,1
80789,1
80807,1
80812,1
80871,1
80872,1
80873,1
80882,1
80883,1
80898,1
80900,1
80901,1
80910,1
80911,1
80912,1
80967,1
80976,1
80992,1
80994,1
80995,1
80997,1
80998,1
81018,1
81020,1
81021,1
81025,1
81029,1
81030,1
81032,1
81035,1
81036,1
81038,1
81039,1
81040,1
81042,1
81043,1
81074,1
81078,1
81079,1
81118,1
81176,1
81179,1
81207,1
81209,1
81210,1
81218,1
81219,1
81220,1
81224,1
81225,1
81249,1
81260,1
81263,1
81285,1
81287,1
81290,1
81309,1
81310,1
81311,1
81313,1
81317,1
81375,1
81377,1
81385,1
81386,1
81387,1
81388,1
81392,1
81396,1
81397,1
81398,1
81405,1
81407,1
81412,1
81413,1
81420,1
81421,1
81426,1
81427,1
81429,1
81462,1
81463,1
81467,1
81469,1
81470,1
81471,1
81475,1
81477,1
81478,1
81492,1
81494,1
81497,1
81500,1
81501,1
81502,1
81503,1
81509,1
81510,1
81513,1
81517,1
81518,1
81524,1
81525,1
81529,1
81535,1
81536,1
81537,1
81540,1
81566,1
81569,1
81571,1
81573,1
81574,1
81575,1
81578,1
81579,1
81583,1
81584,1
81585,1
81586,1
81587,1
81588,1
81589,1
81590,1
81645,1
81646,1
81647,1
81650,1
81651,1
81659,1
81660,1
81728,1
81730,1
81731,1
81736,1
81743,1
81744,1
81747,1
81748,1
81751,1
81752,1
81758,1
81760,1
81761,1
81762,1
81766,1
81767,1
81769,1
81772,1
81778,1
81783,1
81785,1
81786,1
81790,1
81791,1
81792,1
81801,1
81802,1
81810,1
81816,1
81823,1
81824,1
81825,1
81827,1
81830,1
81831,1
81832,1
81836,1
81837,1
81838,1
81843,1
81845,1
81848,1
81849,1
81850,1
81853,1
81854,1
81855,1
81875,1
81879,1
81884,1
81885,1
81889,1
81890,1
81892,1
81897,1
81898,1
81899,1
81902,1
81906,1
81911,1
81917,1
81920,1
81921,1
81946,1
81957,1
81965,1
81966,1
81968,1
81976,1
81978,1
81985,1
81988,1
81989,1
81991,1
81992,1
81995,1
82001,1
82006,1
82011,1
82024,1
82030,1
82034,1
82043,1
82044,1
82055,1
82056,1
82071,1
82086,1
82088,1
82091,1
82092,1
82095,1
82096,1
82115,1
82117,1
82118,1
82120,1
82124,1
82127,1
82152,1
82177,1
82179,1
82183,1
82204,1
82211,1
82213,1
82214,1
82217,1
82218,1
82219,1
82224,1
82225,1
82226,1
82227,1
82229,1
82231,1
82232,1
82237,1
82239,1
82247,1
82248,1
82252,1
82253,1
82255,1
82259,1
82265,1
82268,1
82269,1
82271,1
82277,1
82278,1
82289,1
82348,1
82350,1
82351,1
82353,1
82354,1
82355,1
82357,1
82358,1
82359,1
82360,1
82361,1
82373,1
82374,1
82376,1
82379,1
82382,1
82383,1
82414,1
82417,1
82419,1
82425,1
82448,1
82451,1
82455,1
82456,1
82457,1
82458,1
82461,1
82484,1
82487,1
82515,1
82516,1
82517,1
82518,1
82519,1
82520,1
82521,1
82524,1
82528,1
82529,1
82534,1
82550,1
82553,1
82554,1
82556,1
82562,1
82577,1
82584,1
82586,1
82587,1
82603,1
82608,1
82615,1
82617,1
82621,1
82625,1
82626,1
82627,1
82630,1
82636,1
82661,1
82666,1
82669,1
82701,1
82702,1
82703,1
82733,1
82734,1
82760,1
82761,1
82762,1
82763,1
82764,1
82765,1
82794,1
82798,1
82800,1
82808,1
82821,1
82832,1
82847,1
82848,1
82849,1
82857,1
82858,1
82859,1
82863,1
82870,1
82871,1
82882,1
82883,1
82886,1
82887,1
82917,1
82920,1
82927,1
82928,1
82935,1
82940,1
82941,1
82942,1
82943,1
82945,1
82946,1
82947,1
82948,1
82949,1
82950,1
82951,1
82960,1
