Zone Num,Zone Code,,Zone Name,2025,2030,2035,2040
z1,BASN,25,WECC/Basin,2.877898,3.157094,3.398795,3.535765
z2,CANO,21,WECC/CA North,5.993888,6.441951,6.909055,7.059999
z3,CASO,22,WECC/CA South,6.75086,7.422089,8.118114,8.381553
z4,FRCC,2,Florida Reliability Coordinating Council,3.005646,3.154133,3.213933,3.253533
z5,ISNE,7,NPCC/ New England,6.781919,7.402329,7.812901,8.097645
z6,MISC,4,Midcontinent ISO/Central,2.728198,2.893054,3.034859,3.093765
z7,MISE,5,Midcontinent ISO/East,3.48635,3.598056,3.727442,3.787315
z8,MISS,6,Midcontinent ISO/South,2.240561,2.40929,2.561237,2.641688
z9,MISW,3,Midcontinent ISO/West,2.607012,2.831759,3.018668,3.095986
z10,NWPP,23,WECC/Northwest Power Pool,3.15148,3.393541,3.654788,3.791764
z11,NYCW,8,NPCC/NYC & Long Island,11.776608,12.780903,13.565909,13.979288
z12,NYUP,9,NPCC/Upstate NY,5.68707,6.128957,6.489893,6.678141
z13,PJMC,12,PJM/Commonwealth Edison,3.014283,3.119828,3.2267,3.228273
z14,PJMD,13,PJM/Dominion,2.355122,2.617129,2.814576,2.943304
z15,PJME,10,PJM/East,4.712607,5.136842,5.493888,5.644805
z16,PJMW,11,PJM/West,3.076237,3.283377,3.468335,3.544808
z17,RMRG,24,WECC/Rockies,2.854908,3.16264,3.39573,3.582836
z18,SPPC,18,Southwest Power Pool/Central,3.078098,3.226433,3.330343,3.346713
z19,SPPN,19,Southwest Power Pool/North,2.296231,2.573347,2.777727,2.889281
z20,SPPS,17,Southwest Power Pool/South,2.843705,3.061232,3.2286,3.28138
z21,SRCA,14,SERC Reliability Corporation/East,2.754755,2.946702,3.108997,3.172036
z22,SRCE,16,SERC Reliability Corporation/Central,1.876085,2.048344,2.209249,2.347041
z23,SRSE,15,SERC Reliability Corporation/Southeast,2.800777,2.927464,3.041122,3.073111
z24,SRSG,20,WECC/Southwest,3.038136,3.288361,3.510397,3.636957
z25,TRE,1,Texas Reliability Entity,1.621343,1.748653,1.832371,1.863658
