Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,Megawatthours
2020,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,"161,870"
2020,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,"2,619"
2020,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,"672,283"
2020,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,"531,662"
2020,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,104
2020,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,"222,826"
2020,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,"22,210"
2020,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,"233,020"
2020,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,"900,029"
2020,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,"8,847"
2020,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,"50,603,071"
2020,207,Alameda Municipal Power,A,Bundled,O,CA,Municipal,"339,583"
2020,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,"384,981"
2020,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,"64,407"
2020,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,"120,835"
2020,230,Albany Utility Board,A,Bundled,O,GA,Municipal,"883,218"
2020,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,"261,018"
2020,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,"213,955"
2020,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,"593,337"
2020,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,"3,204,302"
2020,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,"561,493"
2020,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,"273,321"
2020,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,"18,778"
2020,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,"505,999"
2020,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,"645,218"
2020,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,"80,410"
2020,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,"36,462"
2020,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,"360,874"
2020,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,"403,701"
2020,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,"85,371"
2020,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,"849,371"
2020,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,"119,460"
2020,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,"618,595"
2020,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,"750,747"
2020,571,City of Amory,A,Bundled,O,MS,Municipal,"120,030"
2020,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,"597,611"
2020,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,"2,085,895"
2020,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,"732,828"
2020,604,City of Andalusia,A,Bundled,O,AL,Municipal,"377,860"
2020,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,"834,696"
2020,689,Connexus Energy,A,Bundled,O,MN,Cooperative,"1,991,732"
2020,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,"172,317"
2020,691,City of Anoka,A,Bundled,O,MN,Municipal,"270,004"
2020,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,"347,491"
2020,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,"914,954"
2020,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,"14,212,374"
2020,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,"11,882,029"
2020,733,Appalachian Power Co,C,Delivery,O,VA,Investor Owned,"374,911"
2020,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,"293,501"
2020,796,Arizona Electric Pwr Coop Inc,B,Energy,O,CA,Cooperative,"200,797"
2020,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,"29,344,407"
2020,814,Entergy Arkansas LLC,A,Bundled,O,AR,Investor Owned,"20,748,145"
