IPM Regions,,,,,,,,,,State,State Tax Rate,,Region,Tax Rate
WECC_ID,6,0,0,,,,,,,4,4%,,WECC_ID,5.999324743321685
5.999324743,0.9998874572202808,9.519044209793301e-05,1.735233762119417e-05,,,,,,,0,0%,,WECC_UT,5.999854106031903
,,,,,,,,,,6,6%,,WECC_NNV,6.9993585140204635
WECC_UT,3,6,6,,,,,,,7,7%,,WECC_SNV,6.9999429056208164
5.999854106,4.863132269914807e-05,5.56004306075874e-06,0.9999458086342401,,,,,,,7 (a),7%,,WEC_CALN,6.999999999999999
,,,,,,,,,,3,3%,,WEC_BANC,7
WECC_NNV,7,6,7,6,,,,,,6,6%,,WECC_SCE,6.999998754617411
6.999358514,0.000103979,8.688455921447294e-05,0.9992545347271065,0.000554601,,,,,,0,0%,,WEC_LADW,7
,,,,,,,,,,6,6%,,WECC_SDGE,7
WECC_SNV,6,7,,,,,,,,4,4%,,FRCC,5.999939372083589
6.999942906,5.709437918481203e-05,0.9999429056208151,,,,,,,,4 (b),4%,,NENG_ME,5.997505935793758
,,,,,,,,,,6,6%,,NENGREST,5.012716046597781
WEC_CALN,7,7,,,,,,,,6,6%,,NENG_CT,5.999342817289057
7,0.9999524868762826,4.7513123717514813e-05,,,,,,,,7,7%,,MIS_IL,5.991807935838811
,,,,,,,,,,6,6%,,MIS_MO,4.0219188659790035
WEC_BANC,7,,,,,,,,,7,7%,,S_D_AECI,4.002119387894254
7,1,,,,,,,,,6,6%,,MIS_INKY,6.9349699283364865
,,,,,,,,,,4,4%,,MIS_LMI,6
WECC_SCE,6,7,7,,,,,,,6,6%,,MIS_AMSO,4.000998396305473
6.999998755,1.2453825892035581e-06,0.999858822,0.000139933,,,,,,,6,6%,,MIS_WOTA,5.580680817643581
,,,,,,,,,,6,6%,,MIS_LA,4.001116322800429
WEC_LADW,7,,,,,,,,,6,6%,,MIS_AR,6.999694567213654
7,1,,,,,,,,,7,7%,,MIS_D_MS,6.997826581
