ipm_region,state,Population of state in Zone,Zone Population,State Population,Zone Prop,state_prop,region,dg_region,frac_dg_in_region
ERC_PHDL,Texas,220921.1102,220921.1102,28995881,1,0.007619051,ERC_PHDL,Texas,0.007619051
ERC_REST,Louisiana,242.3338952,24572032.29,4648794,9.86E-06,5.21E-05,ERC_REST,Louisiana,5.21E-05
ERC_REST,Oklahoma,603.4505133,24572032.29,3956971,2.46E-05,0.000152503,ERC_REST,Oklahoma,0.000152503
ERC_REST,Texas,24571186.51,24572032.29,28995881,0.999965579,0.847402654,ERC_REST,Texas,0.847402654
ERC_WEST,New Mexico,305.6730333,1116004.902,2096829,0.000273899,0.000145779,ERC_WEST,New Mexico,0.000145779
ERC_WEST,Oklahoma,161.3044902,1116004.902,3956971,0.000144537,4.08E-05,ERC_WEST,Oklahoma,4.08E-05
ERC_WEST,Texas,1115537.924,1116004.902,28995881,0.999581563,0.038472289,ERC_WEST,Texas,0.038472289
FRCC,Florida,20393869.23,20394487.47,21477737,0.999969686,0.94953529,FRCC,Florida,0.94953529
FRCC,Georgia,618.2376407,20394487.47,10617423,3.03E-05,5.82E-05,FRCC,Georgia,5.82E-05
MIS_AMSO,Louisiana,1829015.496,1829624.393,4648794,0.999667201,0.393438706,MIS_AMSO,Louisiana,0.393438706
MIS_AMSO,Mississippi,608.8967446,1829624.393,2976149,0.000332799,0.000204592,MIS_AMSO,Mississippi,0.000204592
MIS_AR,Arkansas,1805158.994,1811305.734,3017804,0.996606459,0.598169727,MIS_AR,Arkansas,0.598169727
MIS_AR,Mississippi,400.1400544,1811305.734,2976149,0.000220912,0.000134449,MIS_AR,Mississippi,0.000134449
MIS_AR,Missouri,184.4107191,1811305.734,6137428,0.000101811,3.00E-05,MIS_AR,Missouri,3.00E-05
MIS_AR,Tennessee,5562.18915,1811305.734,6829174,0.003070817,0.000814475,MIS_AR,Tennessee,0.000814475
MIS_D_MS,Alabama,28.29594301,1633863.705,4903185,1.73E-05,5.77E-06,MIS_D_MS,Alabama,5.77E-06
MIS_D_MS,Arkansas,356.2704372,1633863.705,3017804,0.000218054,0.000118056,MIS_D_MS,Arkansas,0.000118056
MIS_D_MS,Louisiana,1155.394139,1633863.705,4648794,0.000707155,0.000248536,MIS_D_MS,Louisiana,0.000248536
MIS_D_MS,Mississippi,1632323.745,1633863.705,2976149,0.999057473,0.548468422,MIS_D_MS,Mississippi,0.548468422
MIS_IA,Illinois,139.1798201,1251999.455,12671821,0.000111166,1.10E-05,MIS_IA,Illinois,1.10E-05
MIS_IA,Iowa,1210978.087,1251999.455,3155070,0.967235315,0.383819721,MIS_IA,Iowa,0.383819721
MIS_IA,Minnesota,40656.12202,1251999.455,5639632,0.032472955,0.007209003,MIS_IA,Minnesota,0.007209003
MIS_IA,Missouri,19.73768878,1251999.455,6137428,1.58E-05,3.22E-06,MIS_IA,Missouri,3.22E-06
MIS_IA,South Dakota,133.4814815,1251999.455,884659,0.000106615,0.000150885,MIS_IA,South Dakota,0.000150885
MIS_IA,Wisconsin,72.84735212,1251999.455,5822434,5.82E-05,1.25E-05,MIS_IA,Wisconsin,1.25E-05
MIS_IL,Illinois,2658137.992,2671373.479,12671821,0.995045438,0.209767641,MIS_IL,Illinois,0.209767641
MIS_IL,Indiana,1299.254983,2671373.479,6732219,0.000486362,0.000192991,MIS_IL,Indiana,0.000192991
MIS_IL,Iowa,177.3526092,2671373.479,3155070,6.64E-05,5.62E-05,MIS_IL,Iowa,5.62E-05
MIS_IL,Kentucky,167.2202602,2671373.479,4467673,6.26E-05,3.74E-05,MIS_IL,Kentucky,3.74E-05
MIS_IL,Missouri,11591.65896,2671373.479,6137428,0.004339213,0.001888683,MIS_IL,Missouri,0.001888683
MIS_INKY,Illinois,640.7106325,5700589.677,12671821,0.000112394,5.06E-05,MIS_INKY,Illinois,5.06E-05
MIS_INKY,Indiana,5329879.922,5700589.677,6732219,0.934969928,0.791697347,MIS_INKY,Indiana,0.791697347
MIS_INKY,Kentucky,370012.9105,5700589.677,4467673,0.064907831,0.082820052,MIS_INKY,Kentucky,0.082820052
